candidate_id,arxiv_id,title,screening_tier,reconciliation_status,matched_project_file,match_basis,next_action
ARXIV-0002,2607.27310v1,TrustChain-Review: A Risk-Adaptive Blockchain and Game-Theoretic Framework for Trustworthy AI-Assisted Code Review,supporting,new_candidate,,best_title_similarity=0.58,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0003,2607.25851v1,Rethinking Training Data for Generating Code Review Comments,core,new_candidate,,best_title_similarity=0.60,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0004,2607.24964v1,ALIBI: Adaptive Agentic Attacks on LLM-Based Vulnerability Detectors via Adversarial Code Comments,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0005,2607.24601v1,Evaluating the Impact of Explainable AI on Trust in AI-Assisted Code Review,core,new_candidate,,best_title_similarity=0.56,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0007,2607.21656v1,Cross-Model LLM Code Review: Should you use Claude to review Codex or vice versa?,supporting,new_candidate,,best_title_similarity=0.42,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0009,2607.16740v1,"Agentic Code Review in the Terminal: A Trajectory-Level Analysis of Behavior, Cost, and Human-Alignment",core,new_candidate,,best_title_similarity=0.40,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0010,2607.13196v1,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,supporting,new_candidate,,best_title_similarity=0.46,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0012,2607.13091v1,Self-Improving AI Coding Agents Through Accumulated Behavioral Rules: A Closed-Loop Framework,supporting,new_candidate,,best_title_similarity=0.41,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0014,2607.09524v1,Balancing Usefulness and Naturalness: An LLM-based Curation Pipeline for Code Review Comments,core,new_candidate,,best_title_similarity=0.52,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0015,2607.08885v1,Programmers Are Poor and Overconfident Judges of LLM-Generated Assertions,supporting,new_candidate,,best_title_similarity=0.41,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0016,2607.07980v1,3100 Opinions on Code Review in an AI World: Building Causal Theory from Practitioner Discourse,supporting,new_candidate,,best_title_similarity=0.41,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0017,2607.06065v1,SWE-Review: Closing the Loop on Issue Resolution with Agentic Code Review,core,new_candidate,,best_title_similarity=0.47,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0020,2607.03316v2,Is Agentic Code Review Helpful? Mining Developers' Feedback to CodeRabbit Reviews in the Wild,core,new_candidate,,best_title_similarity=0.41,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0021,2607.02782v1,A Preliminary Study on Explaining Risk of Code Changes using LLM-Based Prediction Models,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0022,2606.28438v1,When AI Reviews Its Own Code: Recursive Self-Training Collapse in Code LLMs,supporting,new_candidate,,best_title_similarity=0.43,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0023,2606.26505v1,"Same Scrutiny, More Time: Eye Tracking Insights into Reviewing LLM-Labelled Code",supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0028,2606.21629v1,Assessing Language Models for Salient Class Identification,supporting,new_candidate,,best_title_similarity=0.61,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0031,2606.13757v2,SEVRA-BENCH: Social Engineering of Vulnerabilities in Review Agents,core,new_candidate,,best_title_similarity=0.50,"assign project ID, verify metadata, create note and BibTeX"
ARXIV-0035,2606.01969v1,Trust-Calibrated Code Review: A Participatory Design Study of Review Workflows for LLM-Generated Multi-File Changes,supporting,new_candidate,,best_title_similarity=0.45,"assign project ID, verify metadata, create note and BibTeX"
