database,exact_query,search_date,date_range,native_retrieved_count,title,year,url
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","PowerRecall: A Knowledge Graph Enhanced Heterogeneous Multi-Path Retrieval Framework for Power Software Code Review","2026","https://ieeexplore.ieee.org/document/11601893/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","GitRev: An LLM-Based Gamification Framework for Modern Code Review Activities","2024","https://ieeexplore.ieee.org/document/10795351/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","iCodeReviewer: Improving Secure Code Review with Mixture of Prompts","2025","https://ieeexplore.ieee.org/document/11334620/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Hydra-Reviewer: A Holistic Multi-Agent System for Automatic Code Review Comment Generation","2025","https://ieeexplore.ieee.org/document/11203269/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","What Types of Code Review Comments Do Developers Most Frequently Resolve?","2025","https://ieeexplore.ieee.org/document/11334442/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","SGCR: A Specification-Grounded Framework for Trustworthy LLM Code Review","2025","https://ieeexplore.ieee.org/document/11334311/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents","2025","https://ieeexplore.ieee.org/document/11029771/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Integrating RAG and LLM for Automated Code Review in Practice","2025","https://ieeexplore.ieee.org/document/11265531/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Code Comment Inconsistency Detection and Rectification Using a Large Language Model","2025","https://ieeexplore.ieee.org/document/11029963/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Heterogeneous Graph Learning for Code Reviewers Recommendation with LLM's Understanding","2025","https://ieeexplore.ieee.org/document/11183380/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Code Review Automation: Strengths and Weaknesses of the State of the Art","2024","https://ieeexplore.ieee.org/document/10378848/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","When Less Is More: Monolingual Fine-Tuning of Language Models for Industrial C# Code Review","2026","https://ieeexplore.ieee.org/document/11599952/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Automated Code Review in DevOps Pipelines using Artificial Intelligence","2026","https://ieeexplore.ieee.org/document/11634200/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Agentic Code Review: A Multi-Agent Framework with Meta-Cognitive Reflection and Human-in-the-Loop Alignment","2026","https://ieeexplore.ieee.org/document/11542535/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","An Agentic-AI Solution for Intelligent Code Review","2025","https://ieeexplore.ieee.org/document/11318443/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Hybrid Intelligence for Automated Code Review: Integrating Static Analysis with Large Language Models","2025","https://ieeexplore.ieee.org/document/11580587/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","AI-Powered Code Reviews: Leveraging Large Language Models","2024","https://ieeexplore.ieee.org/document/10829223/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","DupLLM:Duplicate Pull Requests Detection Based on Large Language Model","2024","https://ieeexplore.ieee.org/document/10967276/"
"IEEE Xplore","""large language model"" AND ""code review""","2026-08-06","2021-01-01 to 2026-08-02","69","Intent-Invariant Mutation Testing: A Coverage Criterion for Large Language Model Safety Contracts","2026","https://ieeexplore.ieee.org/document/11641740/"
