candidate_id,full_text_decision,inclusion_group,exact_criterion,evidence_location,decision_rationale,duplicate_or_companion,screening_reviewer,screening_date
ARXIV-0002,include,supporting,"Supporting inclusion: human-AI review workflow and operational-cost evidence.","Abstract; Sections 1 and 3.","Evaluates a risk-adaptive governance simulation for AI-assisted code review, including trust/detection outcomes and governance cost. It does not evaluate generated review comments directly, so it is supporting evidence only.",,Codex,2026-08-02
ARXIV-0003,include,core,"Core inclusion: generated review comments and dataset/context validity.","Abstract; Sections 1 and 2.","Empirically analyses diff-comment training pairs for automated review-comment generation and derives a taxonomy covering semantic ambiguity, lack of actionability, and context dependence.",,Codex,2026-08-02
ARXIV-0004,include,supporting,"Supporting inclusion: closely related security/static-analysis setting with a review-feedback connection.","Abstract; Sections 1 and 2.","Demonstrates that adversarial natural-language source comments can mislead LLM vulnerability reviewers and evaluates defenses. Its artifact is a security detector rather than generated review comments.",,Codex,2026-08-02
ARXIV-0005,include,core,"Core inclusion: AI-assisted code review and reviewer trust/usefulness evaluation.","Abstract; Sections 1 and 3.","Within-subject user study directly evaluates explanation level, trust, agreement with AI review recommendations, and review time for AI-assisted code review.",,Codex,2026-08-02
ARXIV-0007,include,supporting,"Supporting inclusion: human-AI review workflow and operational-cost evidence.","Abstract; Sections 1 and 2.","Controlled writer-reviewer experiment reports correctness, reviewer fixes and regressions, cost, and latency. The reviewer rewrites code rather than producing a review-comment artifact, so it is supporting workflow evidence.",,Codex,2026-08-02
ARXIV-0009,include,core,"Core inclusion: LLM-based code review and trade-off-aware evaluation.","Abstract; Sections 1 and 2.","Empirically evaluates terminal-based agentic reviewers using a human-verified review dataset, review precision, repository-grounded trajectories, human alignment, and operational cost.",,Codex,2026-08-02
ARXIV-0010,include,supporting,"Supporting inclusion: human-AI review workflow and reviewer burden/usefulness.","Abstract; Section 1.","Large-scale observational study of pull-request review across human, LLM-assisted, and agentic eras; reports efficiency and review-quality associations but does not evaluate generated comments as an artifact.",,Codex,2026-08-02
ARXIV-0011,exclude,,"Exclusion: no review-feedback connection.","Abstract; Section 1.","The study concerns regional evaluation bias in global software development. A code-review exercise is one assessment task, not the study's review-feedback artifact or evaluation target.",,Codex,2026-08-02
ARXIV-0012,include,supporting,"Supporting inclusion: mitigation through human-feedback-derived rules in a code-review workflow.","Abstract; Section 1.","Reports a closed-loop process that converts accepted human review comments into persistent coding-agent rules and measures recurrence outcomes across recorded production sessions; it does not evaluate generated review comments directly.",,Codex,2026-08-02
ARXIV-0014,include,core,"Core inclusion: generated review comments, dataset validity, and mitigation trade-offs.","Abstract; Section 1.","Directly evaluates LLM-based curation of review-comment datasets across comment-quality dimensions, downstream comment generation and refinement, and the standardization-diversity trade-off.",,Codex,2026-08-02
ARXIV-0015,include,supporting,"Supporting inclusion: human-AI review workflow and evaluator validity.","Abstract; Section 1.","Controlled human study measures programmers' accuracy and confidence when judging LLM-generated assertions and the effects of explanations. Assertions are adjacent reliability artifacts rather than review comments.",,Codex,2026-08-02
ARXIV-0016,include,supporting,"Supporting inclusion: human-AI review workflow and reviewer burden/usefulness.","Abstract; Section 1.","Systematically codes practitioner discourse to build a causal theory of how coding agents change code-review load, quality, comprehension, and human control. It provides contextual workflow evidence rather than comment-level performance evidence.",,Codex,2026-08-02
ARXIV-0017,include,core,"Core inclusion: LLM-based code review, structured diagnoses, and end-to-end evaluation.","Abstract; Section 1.","Introduces and evaluates an agentic code-review framework that produces accept/request-changes decisions and structured diagnoses for AI-generated pull requests, including end-to-end issue-resolution outcomes.",,Codex,2026-08-02
ARXIV-0020,include,core,"Core inclusion: generated review comments and usefulness/actionability evaluation.","Abstract; Section 1.","Large-scale field study of agentic pull-request review comments and developer feedback directly measures acceptance, discussion, rejection, and invalid-suggestion categories.",,Codex,2026-08-02
ARXIV-0021,include,supporting,"Supporting inclusion: closely coupled review-workflow context and explanation evidence.","Abstract; Section 1.","Evaluates LLM-derived risk highlights for code changes as review guidance, balancing coverage of expert-labeled risky lines with review burden and latency. It does not generate review comments.",,Codex,2026-08-02
ARXIV-0022,include,supporting,"Supporting inclusion: mitigation through gating and verification in a code-review workflow.","Abstract; Section 1.","Empirically compares human-gate and AI-self-gate review filters in recursive code-model training, showing self-confirming approval can decouple acceptance from correctness. The evaluated artifact is generated code, not review comments.",,Codex,2026-08-02
ARXIV-0023,include,supporting,"Supporting inclusion: human-AI review workflow and reviewer burden/usefulness.","Abstract; Section 1.","Wizard-of-Oz eye-tracking study evaluates how an LLM-generated label affects developers' review attention, time, and strategies; it does not assess generated review feedback.",,Codex,2026-08-02
ARXIV-0028,include,supporting,"Supporting inclusion: context and reviewability support in code review.","Abstract; Section 1.","Evaluates language models for identifying salient classes in multi-class commits, a review-navigation and context-selection aid rather than a review-comment generator.",,Codex,2026-08-02
ARXIV-0031,include,core,"Core inclusion: LLM-based code-review benchmark and adversarial evaluation.","Abstract; Section 1.","Introduces an adversarial pull-request benchmark that directly measures LLM review-agent approvals under narrative manipulation across security vulnerabilities.",,Codex,2026-08-02
ARXIV-0035,include,supporting,"Supporting inclusion: human-AI review workflow and trust calibration.","Abstract; Section 1.","Participatory design and survey study develops and evaluates workflow constructs for humans reviewing LLM-generated multi-file changes; it is not an evaluation of generated review comments.",,Codex,2026-08-02
