candidate_id,title_abstract_decision,exclusion_reason,decision_basis,screening_reviewer
ARXIV-0002,include_full_text,,AI-assisted code-review framework with explicit governance and cost trade-offs.,Codex
ARXIV-0003,include_full_text,,Direct study of generated code-review comments and training-data validity.,Codex
ARXIV-0004,include_full_text,,Security-review supporting evidence on adversarial comments affecting LLM code analysis.,Codex
ARXIV-0005,include_full_text,,User study of explanation and trust in AI-assisted code review.,Codex
ARXIV-0006,exclude_title_abstract,insufficient method/evaluation,Vision paper without an evaluated method or empirical evidence.,Codex
ARXIV-0007,include_full_text,,Code-review intervention with controlled cost and performance comparison; review artifact requires full-text boundary check.,Codex
ARXIV-0008,exclude_title_abstract,no review-feedback connection,Commit-message generation rather than review feedback or review evaluation.,Codex
ARXIV-0009,include_full_text,,Direct agentic code-review evaluation with precision cost and human-alignment evidence.,Codex
ARXIV-0010,include_full_text,,Empirical PR-level study of LLM and agentic code-review workflow quality.,Codex
ARXIV-0011,include_full_text,,Supporting evidence on evaluation bias with a code-review task component.,Codex
ARXIV-0012,include_full_text,,AI coding-agent framework grounded in accepted code-review feedback; full text needed to confirm review-specific outcomes.,Codex
ARXIV-0013,exclude_title_abstract,no review-feedback connection,Specification recovery and regeneration evaluation without code-review feedback.,Codex
ARXIV-0014,include_full_text,,Direct LLM curation of code-review-comment datasets and comment utility.,Codex
ARXIV-0015,include_full_text,,Supporting evidence on human judgment of LLM-generated assertions in code comprehension and review settings.,Codex
ARXIV-0016,include_full_text,,Empirical practitioner study of AI-authored pull requests and code-review mechanisms.,Codex
ARXIV-0017,include_full_text,,Direct agentic PR-review framework with review correctness and revision usefulness.,Codex
ARXIV-0018,exclude_title_abstract,no review-feedback connection,Vulnerability-analysis study without an evaluated review-feedback artifact.,Codex
ARXIV-0019,exclude_title_abstract,no review-feedback connection,General multi-agent software-engineering evaluation; code review is only a task label.,Codex
ARXIV-0020,include_full_text,,Empirical study of developer feedback to agentic pull-request review comments.,Codex
ARXIV-0021,include_full_text,,Supporting evidence on LLM explanations of code-change risk for developers during code review.,Codex
ARXIV-0022,include_full_text,,Supporting evidence on human and AI review gates for code LLM quality control.,Codex
ARXIV-0023,include_full_text,,Empirical human study of reviewing LLM-labeled code.,Codex
ARXIV-0024,exclude_title_abstract,no review-feedback connection,General self-improving-agent evaluation; code review is not the evaluated artifact.,Codex
ARXIV-0026,exclude_title_abstract,no review-feedback connection,Security assessment of vibe-coded applications rather than code-review feedback.,Codex
ARXIV-0027,exclude_title_abstract,no review-feedback connection,Scientific peer-review verification rather than software code review.,Codex
ARXIV-0028,include_full_text,,Supporting evidence on language-model support for review navigation and code-change context.,Codex
ARXIV-0029,exclude_title_abstract,no review-feedback connection,Commit-message generation rather than review feedback or review evaluation.,Codex
ARXIV-0030,exclude_title_abstract,insufficient method/evaluation,Agent-collaboration protocol without an evaluated code-review-feedback artifact.,Codex
