candidate_id,proposed_doi,status,decision
POOL-0002,,manual_review,not_high_confidence
POOL-0005,10.3390/e25060888,manual_review,not_high_confidence
POOL-0006,,manual_review,not_high_confidence
POOL-0007,,manual_review,not_high_confidence
POOL-0010,,manual_review,not_high_confidence
POOL-0012,,manual_review,not_high_confidence
POOL-0013,,manual_review,not_high_confidence
POOL-0016,10.3390/electronics10101181,manual_review,not_high_confidence
POOL-0017,10.5281/zenodo.21693231,manual_review,not_high_confidence
POOL-0021,,manual_review,not_high_confidence
POOL-0026,,manual_review,not_high_confidence
POOL-0029,,manual_review,not_high_confidence
POOL-0033,,manual_review,not_high_confidence
POOL-0038,10.1111/j.1460-2466.1996.tb01475.x,manual_review,not_high_confidence
POOL-0042,,manual_review,not_high_confidence
POOL-0050,,manual_review,not_high_confidence
POOL-0063,10.3390/e25060888,manual_review,not_high_confidence
POOL-0072,10.1109/emr.2023.3286349,manual_review,not_high_confidence
POOL-0079,10.1145/3649506,manual_review,not_high_confidence
POOL-0087,,manual_review,not_high_confidence
POOL-0088,10.1017/s0140525x12000477,manual_review,not_high_confidence
POOL-0089,,manual_review,not_high_confidence
POOL-0098,10.1136/bmj-2023-078378,manual_review,not_high_confidence
POOL-0103,,manual_review,not_high_confidence
POOL-0105,10.2172/10117307,manual_review,not_high_confidence
POOL-0108,10.2307/3312909,manual_review,not_high_confidence
POOL-0111,,manual_review,not_high_confidence
POOL-0116,,manual_review,not_high_confidence
POOL-0123,10.48550/arxiv.2602.23047,high_confidence_suggestion,duplicate_doi
POOL-0124,,manual_review,not_high_confidence
POOL-0126,,manual_review,not_high_confidence
POOL-0137,10.1162/coli_a_00502,manual_review,not_high_confidence
POOL-0146,10.1007/s10458-008-9068-3,manual_review,not_high_confidence
POOL-0151,,manual_review,not_high_confidence
POOL-0152,,manual_review,not_high_confidence
POOL-0169,,manual_review,not_high_confidence
POOL-0172,10.18653/v1/2023.emnlp-main.495,manual_review,not_high_confidence
POOL-0210,,manual_review,not_high_confidence
POOL-0225,10.48550/arxiv.2505.18942,high_confidence_suggestion,duplicate_doi
POOL-0315,10.1145/3652154,manual_review,not_high_confidence
POOL-0321,10.48550/arxiv.2505.13766,high_confidence_suggestion,duplicate_doi
POOL-0330,10.48550/arxiv.2410.06949,high_confidence_suggestion,duplicate_doi
POOL-0364,10.3390/fi15080260,manual_review,not_high_confidence
POOL-0392,10.48550/arxiv.2401.16310,high_confidence_suggestion,duplicate_title
POOL-0405,10.48550/arxiv.2306.08616,high_confidence_suggestion,duplicate_doi
POOL-0409,10.48550/arxiv.2308.11082,high_confidence_suggestion,duplicate_doi
POOL-0417,10.48550/arxiv.2304.07840,high_confidence_suggestion,duplicate_doi
POOL-0845,10.18653/v1/2022.acl-long.577,manual_review,not_high_confidence
POOL-0846,10.1109/apsec65559.2024.00023,high_confidence_suggestion,duplicate_doi
POOL-0847,10.1109/mc.2026.3696017,high_confidence_suggestion,duplicate_doi
POOL-0848,10.1109/apsec65559.2024.00061,high_confidence_suggestion,duplicate_doi
POOL-0849,10.1109/iceccc65144.2025.11064209,high_confidence_suggestion,duplicate_doi
POOL-0850,10.1145/3600211.3604712,manual_review,not_high_confidence
POOL-0851,10.3390/fi15080260,manual_review,not_high_confidence
POOL-0852,10.1109/tse.2025.3543187,high_confidence_suggestion,duplicate_doi
POOL-0853,10.48550/arxiv.2404.14824,manual_review,not_high_confidence
POOL-0854,10.48550/arxiv.2408.00435,manual_review,not_high_confidence
POOL-0855,10.1109/vl/hcc60511.2024.00014,high_confidence_suggestion,duplicate_doi
POOL-0856,10.1109/scse65633.2025.11031000,high_confidence_suggestion,duplicate_doi
POOL-0857,10.23919/cnsm62983.2024.10814636,high_confidence_suggestion,duplicate_doi
POOL-0858,10.1111/1748-8583.12524,manual_review,not_high_confidence
POOL-0859,10.48550/arxiv.2510.13575,manual_review,not_high_confidence
POOL-0860,10.13052/jwe1540-9589.2535,high_confidence_suggestion,duplicate_doi
POOL-0861,10.48550/arxiv.2107.03374,manual_review,not_high_confidence
POOL-0862,10.48550/arxiv.2510.03463,manual_review,not_high_confidence
POOL-0863,10.1109/icaic67076.2026.11395881,high_confidence_suggestion,duplicate_doi
POOL-0864,10.1109/southeastcon63549.2026.11476061,high_confidence_suggestion,duplicate_doi
POOL-0865,10.1109/mcse.2026.3661610,high_confidence_suggestion,duplicate_doi
POOL-0866,10.1145/336512.336586,manual_review,not_high_confidence
POOL-0867,10.1109/tlt.2024.3396735,high_confidence_suggestion,duplicate_doi
POOL-0868,10.1109/icidca66325.2025.11280467,high_confidence_suggestion,duplicate_doi
POOL-0869,10.1109/access.2024.3449106,high_confidence_suggestion,duplicate_doi
POOL-0870,10.1109/iccns66249.2025.11428688,high_confidence_suggestion,duplicate_doi
POOL-0871,10.1007/s40593-024-00406-0,manual_review,not_high_confidence
POOL-0872,10.1109/access.2026.3696573,high_confidence_suggestion,duplicate_doi
POOL-0873,10.1109/access.2026.3695435,high_confidence_suggestion,duplicate_doi
POOL-0874,,manual_review,not_high_confidence
POOL-0875,10.1145/3544548.3580940,manual_review,not_high_confidence
POOL-0876,10.1016/j.jss.2026.113049,high_confidence_suggestion,duplicate_doi
POOL-0877,10.1016/j.amepre.2026.108379,high_confidence_suggestion,duplicate_doi
POOL-0878,10.1016/j.autcon.2026.106997,high_confidence_suggestion,duplicate_doi
POOL-0879,10.1016/j.jcrimjus.2026.102692,high_confidence_suggestion,duplicate_doi
POOL-0880,10.1016/j.jss.2025.112717,high_confidence_suggestion,duplicate_doi
POOL-0881,10.1016/j.eswa.2024.126357,high_confidence_suggestion,duplicate_doi
POOL-0882,10.1145/3747588,manual_review,not_high_confidence
POOL-0883,10.1016/j.neucom.2026.133741,high_confidence_suggestion,duplicate_doi
POOL-0884,10.1002/hcs2.61,manual_review,not_high_confidence
POOL-0885,10.48550/arxiv.2107.03374,manual_review,not_high_confidence
POOL-0886,10.1016/j.jmsy.2026.04.027,high_confidence_suggestion,duplicate_doi
POOL-0887,10.1016/j.ipm.2026.104815,high_confidence_suggestion,duplicate_doi
POOL-0888,10.1016/j.jisa.2026.104390,high_confidence_suggestion,duplicate_doi
POOL-0889,10.1007/s11704-026-60308-3,manual_review,not_high_confidence
POOL-0890,10.1016/j.jss.2026.112834,high_confidence_suggestion,duplicate_doi
POOL-0891,10.1016/j.eswa.2025.130991,high_confidence_suggestion,duplicate_doi
POOL-0892,10.1007/s40593-025-00505-6,high_confidence_suggestion,duplicate_doi
POOL-0893,10.32604/cmc.2026.077367,high_confidence_suggestion,duplicate_doi
POOL-0894,,manual_review,not_high_confidence
POOL-0895,10.1007/s40593-025-00479-5,high_confidence_suggestion,duplicate_doi
POOL-0896,10.1016/j.ipm.2025.104580,high_confidence_suggestion,duplicate_doi
POOL-0897,10.1007/s43681-023-00289-2,manual_review,not_high_confidence
