candidate_id,arxiv_id,title,source,pdf_url,target_path,acquisition_status,full_text_decision,full_text_reason
ARXIV-0002,2607.27310v1,TrustChain-Review: A Risk-Adaptive Blockchain and Game-Theoretic Framework for Trustworthy AI-Assisted Code Review,arXiv,https://arxiv.org/pdf/2607.27310v1,papers/candidates/pdfs/ARXIV-0002_2607.27310.pdf,downloaded,pending,PDF validated locally (24 pages)
ARXIV-0003,2607.25851v1,Rethinking Training Data for Generating Code Review Comments,arXiv,https://arxiv.org/pdf/2607.25851v1,papers/candidates/pdfs/ARXIV-0003_2607.25851.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0004,2607.24964v1,ALIBI: Adaptive Agentic Attacks on LLM-Based Vulnerability Detectors via Adversarial Code Comments,arXiv,https://arxiv.org/pdf/2607.24964v1,papers/candidates/pdfs/ARXIV-0004_2607.24964.pdf,downloaded,pending,PDF validated locally (22 pages)
ARXIV-0005,2607.24601v1,Evaluating the Impact of Explainable AI on Trust in AI-Assisted Code Review,arXiv,https://arxiv.org/pdf/2607.24601v1,papers/candidates/pdfs/ARXIV-0005_2607.24601.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0007,2607.21656v1,Cross-Model LLM Code Review: Should you use Claude to review Codex or vice versa?,arXiv,https://arxiv.org/pdf/2607.21656v1,papers/candidates/pdfs/ARXIV-0007_2607.21656.pdf,downloaded,pending,PDF validated locally (9 pages)
ARXIV-0009,2607.16740v1,"Agentic Code Review in the Terminal: A Trajectory-Level Analysis of Behavior, Cost, and Human-Alignment",arXiv,https://arxiv.org/pdf/2607.16740v1,papers/candidates/pdfs/ARXIV-0009_2607.16740.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0010,2607.13196v1,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,arXiv,https://arxiv.org/pdf/2607.13196v1,papers/candidates/pdfs/ARXIV-0010_2607.13196.pdf,downloaded,pending,PDF validated locally (12 pages)
ARXIV-0011,2607.12563v1,Evaluation Bias and Epistemic Inequality in Global Software Development,arXiv,https://arxiv.org/pdf/2607.12563v1,papers/candidates/pdfs/ARXIV-0011_2607.12563.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0012,2607.13091v1,Self-Improving AI Coding Agents Through Accumulated Behavioral Rules: A Closed-Loop Framework,arXiv,https://arxiv.org/pdf/2607.13091v1,papers/candidates/pdfs/ARXIV-0012_2607.13091.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0014,2607.09524v1,Balancing Usefulness and Naturalness: An LLM-based Curation Pipeline for Code Review Comments,arXiv,https://arxiv.org/pdf/2607.09524v1,papers/candidates/pdfs/ARXIV-0014_2607.09524.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0015,2607.08885v1,Programmers Are Poor and Overconfident Judges of LLM-Generated Assertions,arXiv,https://arxiv.org/pdf/2607.08885v1,papers/candidates/pdfs/ARXIV-0015_2607.08885.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0016,2607.07980v1,3100 Opinions on Code Review in an AI World: Building Causal Theory from Practitioner Discourse,arXiv,https://arxiv.org/pdf/2607.07980v1,papers/candidates/pdfs/ARXIV-0016_2607.07980.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0017,2607.06065v1,SWE-Review: Closing the Loop on Issue Resolution with Agentic Code Review,arXiv,https://arxiv.org/pdf/2607.06065v1,papers/candidates/pdfs/ARXIV-0017_2607.06065.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0020,2607.03316v2,Is Agentic Code Review Helpful? Mining Developers' Feedback to CodeRabbit Reviews in the Wild,arXiv,https://arxiv.org/pdf/2607.03316v2,papers/candidates/pdfs/ARXIV-0020_2607.03316.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0021,2607.02782v1,A Preliminary Study on Explaining Risk of Code Changes using LLM-Based Prediction Models,arXiv,https://arxiv.org/pdf/2607.02782v1,papers/candidates/pdfs/ARXIV-0021_2607.02782.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0022,2606.28438v1,When AI Reviews Its Own Code: Recursive Self-Training Collapse in Code LLMs,arXiv,https://arxiv.org/pdf/2606.28438v1,papers/candidates/pdfs/ARXIV-0022_2606.28438.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0023,2606.26505v1,"Same Scrutiny, More Time: Eye Tracking Insights into Reviewing LLM-Labelled Code",arXiv,https://arxiv.org/pdf/2606.26505v1,papers/candidates/pdfs/ARXIV-0023_2606.26505.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0028,2606.21629v1,Assessing Language Models for Salient Class Identification,arXiv,https://arxiv.org/pdf/2606.21629v1,papers/candidates/pdfs/ARXIV-0028_2606.21629.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0031,2606.13757v2,SEVRA-BENCH: Social Engineering of Vulnerabilities in Review Agents,arXiv,https://arxiv.org/pdf/2606.13757v2,papers/candidates/pdfs/ARXIV-0031_2606.13757.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0035,2606.01969v1,Trust-Calibrated Code Review: A Participatory Design Study of Review Workflows for LLM-Generated Multi-File Changes,arXiv,https://arxiv.org/pdf/2606.01969v1,papers/candidates/pdfs/ARXIV-0035_2606.01969.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0036,2606.01859v1,Improving LLM-Based Go Code Review through Issue-List Generation and Context Augmentation,arXiv,https://arxiv.org/pdf/2606.01859v1,papers/candidates/pdfs/ARXIV-0036_2606.01859.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0038,2605.30208v2,"Automating Low-Risk Code Review at Meta: RADAR, Risk Calibration, and Review Efficiency",arXiv,https://arxiv.org/pdf/2605.30208v2,papers/candidates/pdfs/ARXIV-0038_2605.30208.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0039,2605.26100v1,Beyond Summaries: Structure-Aware Labeling of Code Changes with Large Language Models,arXiv,https://arxiv.org/pdf/2605.26100v1,papers/candidates/pdfs/ARXIV-0039_2605.26100.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0040,2605.23108v1,Philosophical Dispositions as Behavioral Constraints for AI-Assisted Code Review: An Empirical Study,arXiv,https://arxiv.org/pdf/2605.23108v1,papers/candidates/pdfs/ARXIV-0040_2605.23108.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0041,2605.21374v1,Combating Harms of Generative AI in CS1 with Code Review Interviews and a Flipped Classroom,arXiv,https://arxiv.org/pdf/2605.21374v1,papers/candidates/pdfs/ARXIV-0041_2605.21374.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0046,2605.12610v1,Fine-Tuning Models for Automated Code Review Feedback,arXiv,https://arxiv.org/pdf/2605.12610v1,papers/candidates/pdfs/ARXIV-0046_2605.12610.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0048,2605.09059v2,Evaluating LLM-Generated Code: A Benchmark and Developer Study,arXiv,https://arxiv.org/pdf/2605.09059v2,papers/candidates/pdfs/ARXIV-0048_2605.09059.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0051,2605.01160v1,The Productivity-Reliability Paradox: Specification-Driven Governance for AI-Augmented Software Development,arXiv,https://arxiv.org/pdf/2605.01160v1,papers/candidates/pdfs/ARXIV-0051_2605.01160.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0052,2604.24621v1,"Evaluation of LLM-Based Software Engineering Tools: Practices, Challenges, and Future Directions",arXiv,https://arxiv.org/pdf/2604.24621v1,papers/candidates/pdfs/ARXIV-0052_2604.24621.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0053,2604.24525v1,Understanding the Limits of Automated Evaluation for Code Review Bots in Practice,arXiv,https://arxiv.org/pdf/2604.24525v1,papers/candidates/pdfs/ARXIV-0053_2604.24525.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0054,2604.23832v1,Characterizing the Usefulness of Code Review Comments in Scientific Software for Software Quality and Scientific Rigor,arXiv,https://arxiv.org/pdf/2604.23832v1,papers/candidates/pdfs/ARXIV-0054_2604.23832.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0058,2604.17092v1,AI Observability for Developer Productivity Tools: Bridging Cost Awareness and Code Quality,arXiv,https://arxiv.org/pdf/2604.17092v1,papers/candidates/pdfs/ARXIV-0058_2604.17092.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0061,2604.14408v1,ToxiShield: Promoting Inclusive Developer Communication through Real-Time Toxicity Filtering,arXiv,https://arxiv.org/pdf/2604.14408v1,papers/candidates/pdfs/ARXIV-0061_2604.14408.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0066,2604.10345v2,Recovering Fine-Grained Code Change Rationale from Multiple Software Artifacts,arXiv,https://arxiv.org/pdf/2604.10345v2,papers/candidates/pdfs/ARXIV-0066_2604.10345.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0068,2606.15689v1,Bigger Isn't Always Better: A Comparative Evaluation of LLMs for Automated Code Review,arXiv,https://arxiv.org/pdf/2606.15689v1,papers/candidates/pdfs/ARXIV-0068_2606.15689.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0069,2604.05955v1,Does Pass Rate Tell the Whole Story? Evaluating Design Constraint Compliance in LLM-based Issue Resolution,arXiv,https://arxiv.org/pdf/2604.05955v1,papers/candidates/pdfs/ARXIV-0069_2604.05955.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
ARXIV-0072,2604.00917v1,Investigating Autonomous Agent Contributions in the Wild: Activity Patterns and Code Change over Time,arXiv,https://arxiv.org/pdf/2604.00917v1,papers/candidates/pdfs/ARXIV-0072_2604.00917.pdf,downloaded,pending,Local PDF exists; acquisition synchronized from filesystem.
