candidate_id,title,authors,year,venue_or_repository,doi_or_official_url,source_databases,supplied_label,supplied_label_reason,existing_paper_id,existing_search_candidate_id,screening_status,screening_decision,inclusion_group,evidence_location,decision_rationale,screening_reviewer,screening_date
EXT-0001,RovoDev Code Reviewer: A Large-Scale Online Evaluation of LLM-based Code Review Automation at Atlassian,Kla Tantithamthavorn; Yaotian Zou; Andy Wong; Michael Gupta; Zhe Wang; Mike Buller; Ryan Jiang; Matthew Watson; Minwoo Jeong; Kun Chen; Ming Wu,2026,ICSE-SEIP 2026,https://doi.org/10.1145/3786583.3786851,ACM Digital Library,core,"Directly evaluates LLM-generated code-review comments and operational adoption, latency/workflow, usefulness, and actionability trade-offs.",P03,,duplicate_existing_corpus,,,,,,
EXT-0002,SWR-Bench: Assessing LLM Performance in Real-World Code Review Comment Generation,Zhengran Zeng; Ruikai Shi; Keke Han; Yixin Li; Kaicheng Sun; Yidong Wang; Zhuohao Yu; Rui Xie; Wei Ye; Shikun Zhang,2026,Proceedings of the ACM on Software Engineering / FSE 2026,https://doi.org/10.1145/3808144,ACM Digital Library; Semantic Scholar,core,Direct benchmark and metric study for LLM-generated review comments.,,ARXIV-0147,duplicate_existing_search_queue,,,,,,
EXT-0003,BitsAI-CR: Automated Code Review via LLM in Practice,Tao Sun; Jian Xu; Yuanpeng Li; Zhaodong Yan; Ge Zhang; Lintao Xie; Lu Geng; Zheng Wang; Yueyan Chen; Qinxiang Lin; Wenbo Duan; Kaixin Sui; Yuanshuo Zhu,2025,ACM FSE 2025,https://doi.org/10.1145/3696630.3728552,ACM Digital Library; Semantic Scholar,core,Directly evaluates generated review comments using precision and developer-adoption signals in production.,P10,,duplicate_existing_corpus,,,,,,
EXT-0004,Fine-Tuning Large Language Models to Improve Accuracy and Comprehensibility of Automated Code Review,Yongda Yu; Guoping Rong; Haifeng Shen; He Zhang; Dong Shao; Min Wang; Zhao Wei; Yong Xu; Juhong Wang,2025,ACM Transactions on Software Engineering and Methodology 34(1),https://doi.org/10.1145/3695993,ACM Digital Library; Semantic Scholar,core,Directly evaluates review-comment correctness and human-facing comprehensibility.,P25,,duplicate_existing_corpus,,,,,,
EXT-0005,Assessing Harmful Comments and Specificity in Code Review Feedback at Scale using Large Language Models,Audrey You; Jingyi (Jenny) Wang; Youxiang Lei; Lauren Peate; Kelly Blincoe,2026,ACM FSE 2026 Industry Papers,https://doi.org/10.1145/3803437.3805264,ACM Digital Library,core,Directly evaluates properties of code-review comments and operationalizes quality dimensions beyond lexical similarity.,,,pending_title_abstract_verification,,,,,,
EXT-0006,Benchmarking LLMs for Fine-Grained Code Review with Enriched Context in Practice,Ruida Hu; Xinchen Wang; Xin-Cheng Wen; Zhao Zhang; Bo Jiang; Pengfei Gao; Chao Peng; Cuiyun Gao,2026,ACM FSE 2026 Industry Papers,https://doi.org/10.1145/3803437.3805235,ACM Digital Library,core,Direct benchmark of context-sensitive LLM code review and the benefit of textual versus code context.,,,pending_title_abstract_verification,,,,,,
EXT-0007,Improving Automated Code Reviews: Learning from Experience,Hong Yi Lin; Patanamon Thongtanunam; Christoph Treude; Wachiraphan Charoenwet,2024,MSR 2024,https://doi.org/10.1145/3643991.3644910,ACM Digital Library; Semantic Scholar,core,"Directly evaluates generated review-comment quality across correctness, information, and meaningfulness.",,ARXIV-0241,duplicate_existing_search_queue,,,,,,
EXT-0008,Understanding Practitioners' Expectations on Clear Code Review Comments,Junkai Chen; Zhenhao Li; Qiheng Mao; Xing Hu; Kui Liu; Xin Xia,2025,Proceedings of the ACM on Software Engineering 2 (ISSTA),https://doi.org/10.1145/3728931,ACM Digital Library,core,Defines and evaluates a human-centered quality dimension directly applicable to LLM-generated review comments.,,,pending_title_abstract_verification,,,,,,
EXT-0009,AI-Assisted Assessment of Coding Practices in Modern Code Review,Manushree Vijayvergiya; Małgorzata Salawa; Ivan Budiselić; Dan Zheng; Pascal Lamblin; Marko Ivanković; Juanjo Carin; Mateusz Lewko; Jovan Andonov; Goran Petrović; Daniel Tarlow; Petros Maniatis; René Just,2024,AIware 2024,https://doi.org/10.1145/3664646.3665664,ACM Digital Library,core,Direct industrial evaluation of an LLM system that emits review feedback and examines workflow adoption.,,ARXIV-0230,duplicate_existing_search_queue,,,,,,
EXT-0010,A Roadmap for Modern Code Review: Challenges and Opportunities,Zezhou Yang; Cuiyun Gao; Zhaoqiang Guo; Zhenhao Li; Kui Liu; Xin Xia; Yuming Zhou,2026,ACM Transactions on Software Engineering and Methodology,https://doi.org/10.1145/3800963,ACM Digital Library,supporting,"Provides the evaluation and human-AI framing needed to interpret usefulness, context, adoption, and value trade-offs.",,,pending_title_abstract_verification,,,,,,
