key	source_title	arxiv_url	openalex_doi	crossref_title	crossref_doi	crossref_year	crossref_score	status
m07_angelgonzalezprieto2020	Reliability in Software Engineering Qualitative Research through Inter-Coder Agreement: A guide using Krippendorff's alpha \& Atlas.ti	https://arxiv.org/abs/2008.00977	10.1057/s41599-020-0412-9	Reliability in Software Engineering Qualitative Research Through Inter-Coder Agreement	10.2139/ssrn.4216451	2022	0.796	manual_review_required
p07_olewicki2024_revmate	Impact of LLM-based Review Comment Generation in Practice: A Mixed Open-/Closed-source User Study	https://arxiv.org/abs/2411.07091	10.18653/v1/2024.eacl-long.5	Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study	10.1109/tse.2026.3663093	2026	0.837	manual_review_required
p13_haider2024_prompting_finetuning	Prompting and Fine-tuning Large Language Models for Automated Code Review Comment Generation	[2411.10129] Prompting and Fine-tuning Large Language Models for Automated Code Review Comment Generation	10.1016/j.infsof.2024.107523	METHODOLOGY FOR THE DEVELOPMENT OF AUTOMATED SOFTWARE CODE GENERATION TOOLS BY FINE-TUNING LARGE LANGUAGE MODELS	10.21681/2311-3456-2024-3-68-75	2024	0.402	manual_review_required
p19_nguyen2025_fine_grained_classification	Exploring the Potential of Large Language Models in Fine-Grained Review Comment Classification	http://dx.doi.org/10.1109/scam67354.2025.00012	10.18653/v1/2024.findings-naacl.246	Exploring the Potential of Large Language Models in Fine-Grained Review Comment Classification	10.1109/scam67354.2025.00012	2025	1.000	manual_review_required
p20_hong2025_rag_reviewer	Retrieval-Augmented Code Review Comment Generation	[2506.11591] Retrieval-Augmented Code Review Comment Generation	10.1145/3643795.3648384	Improving Retrieval-Augmented Code Comment Generation by Retrieving for Generation	10.1109/icsme58944.2024.00040	2024	0.652	manual_review_required
p24_bensghaier2025_reward_models	Leveraging Reward Models for Guiding Code Review Comment Generation	https://arxiv.org/abs/2506.04464	10.1016/j.leaqua.2018.03.001	C-TRAIL: A Program Comprehension Approach for Leveraging Learning Models in Automated Code Trail Generation	10.5220/0005974901770185	2016	0.497	manual_review_required
p26_zhong2026_human_ai_synergy	Human-AI Synergy in Agentic Code Review	[2603.15911] Human-AI Synergy in Agentic Code Review	10.1017/s0140525x12000477	Scaling Agentic UX	10.1201/9781003738374-13	2026	0.421	manual_review_required
p32_zhao2026_bias_loop	Bias in the Loop: Auditing LLM-as-a-Judge for Software Engineering	https://arxiv.org/abs/2604.16790	10.18653/v1/2025.emnlp-main.138	Dependency Risk Auditing for LLM-Generated Projects via Software Supply Chain Analysis	10.20944/preprints202602.0007.v1	2026	0.437	manual_review_required
p35_mcaleese2024_llm_critics	LLM Critics Help Catch LLM Bugs	[2407.00215] LLM Critics Help Catch LLM Bugs	10.4230/oasics.icpec.2025.4	LLM Critics Help Catch Bugs in Mathematics: Towards a Better Mathematical Verifier with Natural Language Feedback	10.18653/v1/2025.findings-acl.753	2025	0.378	manual_review_required
p36_li2024_llms_as_judges	LLMs-as-Judges: A Comprehensive Survey on LLM-based Evaluation Methods	https://arxiv.org/abs/2412.05579	10.1007/s11704-024-40231-1	Who Generates More Empathetic Responses—Humans or LLMs? A Comparative Evaluation with Human and LLM Judges	10.18653/v1/2026.conll-main.21	2026	0.356	manual_review_required
p45_zheng2023_code_llm_survey	A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends	https://arxiv.org/abs/2311.10372	10.1007/s11704-024-40231-1	Benchmarking Cross-Language Code Smell Detection with Pretrained and Large Language Models	10.5220/0014803700004015	2026	0.324	manual_review_required
