provisional_project_id,candidate_id,arxiv_id,title,authors,submitted,full_text_path,screening_tier,reconciliation_status,metadata_status,next_action
P72,ARXIV-0003,2607.25851v1,Rethinking Training Data for Generating Code Review Comments,Leonardo Centellas-Claros; Estefania Pakarati-Cofre; Juan Pablo Sandoval Alcocer; Diego Elias Costa,2026-07-28T15:24:30Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P73,ARXIV-0005,2607.24601v1,Evaluating the Impact of Explainable AI on Trust in AI-Assisted Code Review,Zhenhan Gao; Marvin Muñoz Barón; Umm-e Habiba; Daniel Graziotin; Stefan Wagner,2026-07-27T16:04:24Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P74,ARXIV-0009,2607.16740v1,"Agentic Code Review in the Terminal: A Trajectory-Level Analysis of Behavior, Cost, and Human-Alignment",Wachiraphan Charoenwet; Kla Tantithamthavorn; Patanamon Thongtanunam; Hong Yi Lin; Minwoo Jeong; Ming Wu,2026-07-18T10:03:03Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P75,ARXIV-0014,2607.09524v1,Balancing Usefulness and Naturalness: An LLM-based Curation Pipeline for Code Review Comments,Oussama Ben Sghaier; Martin Weyssow; Houari Sahraoui,2026-07-10T15:33:47Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P76,ARXIV-0017,2607.06065v1,SWE-Review: Closing the Loop on Issue Resolution with Agentic Code Review,Ruoyu Wang; Jierun Chen; Shaowei Wang; Chaofan Tao; Sidi Yang; Yuxin Jiang; Kim-Hui Yap; Lifeng Shang; Xiaohui Li; Haoli Bai,2026-07-07T09:37:45Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P77,ARXIV-0020,2607.03316v2,Is Agentic Code Review Helpful? Mining Developers' Feedback to CodeRabbit Reviews in the Wild,Hong Yi Lin; Mingzhao Liang; Patanamon Thongtanunam; Kla Tantithamthavorn,2026-07-03T13:35:09Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P78,ARXIV-0031,2606.13757v2,SEVRA-BENCH: Social Engineering of Vulnerabilities in Review Agents,Rui Melo; Riccardo Fogliato; Sean Zhou; Pratiksha Thaker; Zhiwei Steven Wu,2026-06-11T16:35:56Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P79,ARXIV-0036,2606.01859v1,Improving LLM-Based Go Code Review through Issue-List Generation and Context Augmentation,Kexin Sun; Yucong Guan; Jiaqi Sun; Hongyu Kuang; Guoping Rong; Dong Shao; He Zhang; Xiaoxing Ma; Christoph Treude,2026-06-01T08:11:34Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P80,ARXIV-0040,2605.23108v1,Philosophical Dispositions as Behavioral Constraints for AI-Assisted Code Review: An Empirical Study,Kaushal Bansal,2026-05-21T23:57:25Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
P81,ARXIV-0053,2604.24525v1,Understanding the Limits of Automated Evaluation for Code Review Bots in Practice,Veli Karakaya; Utku Boran Torun; Baykal Mehmet Uçar; Eray Tüzün,2026-04-27T14:25:35Z,,core,extracted_pending_final_freeze,local_arxiv_metadata,Apply final corpus relevance/tier rule before freeze
