database,exact_query,search_date,date_range,title,authors,year,venue_or_repository,doi_or_official_url,official_source_page,abstract_or_short_summary,source_type,label,label_reason,duplicate_or_version_status,retrieval_note
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,RovoDev Code Reviewer: A Large-Scale Online Evaluation of LLM-based Code Review Automation at Atlassian,Kla Tantithamthavorn; Yaotian Zou; Andy Wong; Michael Gupta; Zhe Wang; Mike Buller; Ryan Jiang; Matthew Watson; Minwoo Jeong; Kun Chen; Ming Wu,2026,ICSE-SEIP 2026,https://doi.org/10.1145/3786583.3786851,https://dl.acm.org/doi/10.1145/3786583.3786851,"Enterprise-scale offline, online, and user-feedback evaluation of an LLM code-review assistant, including comment resolution, pull-request cycle time, reviewer workload, and actionable findings.",Conference paper,core,"Directly evaluates LLM-generated code-review comments and operational adoption, latency/workflow, usefulness, and actionability trade-offs.",Published ACM version; preprint arXiv:2601.01129 is the same work.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,SWR-Bench: Assessing LLM Performance in Real-World Code Review Comment Generation,Zhengran Zeng; Ruikai Shi; Keke Han; Yixin Li; Kaicheng Sun; Yidong Wang; Zhuohao Yu; Rui Xie; Wei Ye; Shikun Zhang,2026,Proceedings of the ACM on Software Engineering / FSE 2026,https://doi.org/10.1145/3808144,https://dl.acm.org/doi/10.1145/3808144,Introduces a real-world benchmark and objective evaluation method for code-review comment generation and compares current LLM capabilities.,Journal/conference proceedings article,core,Direct benchmark and metric study for LLM-generated review comments.,Published ACM version; preprint arXiv:2509.01494 is an earlier version.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,BitsAI-CR: Automated Code Review via LLM in Practice,Tao Sun; Jian Xu; Yuanpeng Li; Zhaodong Yan; Ge Zhang; Lintao Xie; Lu Geng; Zheng Wang; Yueyan Chen; Qinxiang Lin; Wenbo Duan; Kaixin Sui; Yuanshuo Zhu,2025,ACM FSE 2025,https://doi.org/10.1145/3696630.3728552,https://dl.acm.org/doi/10.1145/3696630.3728552,"Presents an industrial two-stage LLM review system with precision checks, continuous feedback, an adoption-oriented Outdated Rate metric, and large-scale deployment data.",Conference paper,core,Directly evaluates generated review comments using precision and developer-adoption signals in production.,Published ACM version; arXiv:2501.15134 is the preprint and has a shorter author list.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Fine-Tuning Large Language Models to Improve Accuracy and Comprehensibility of Automated Code Review,Yongda Yu; Guoping Rong; Haifeng Shen; He Zhang; Dong Shao; Min Wang; Zhao Wei; Yong Xu; Juhong Wang,2025,ACM Transactions on Software Engineering and Methodology 34(1),https://doi.org/10.1145/3695993,https://dl.acm.org/doi/10.1145/3695993,Introduces CarLLM and evaluates both accuracy and comprehensibility of automated reviews against pretrained code models and general-purpose LLMs.,Journal article,core,Directly evaluates review-comment correctness and human-facing comprehensibility.,Also indexed in Semantic Scholar; use the ACM journal version as version of record.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Assessing Harmful Comments and Specificity in Code Review Feedback at Scale using Large Language Models,Audrey You; Jingyi (Jenny) Wang; Youxiang Lei; Lauren Peate; Kelly Blincoe,2026,ACM FSE 2026 Industry Papers,https://doi.org/10.1145/3803437.3805264,https://dl.acm.org/doi/10.1145/3803437.3805264,Uses LLMs to assess code-review feedback quality at scale along harmfulness/sentiment and specificity dimensions.,Conference industry paper,core,Directly evaluates properties of code-review comments and operationalizes quality dimensions beyond lexical similarity.,,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Benchmarking LLMs for Fine-Grained Code Review with Enriched Context in Practice,Ruida Hu; Xinchen Wang; Xin-Cheng Wen; Zhao Zhang; Bo Jiang; Pengfei Gao; Chao Peng; Cuiyun Gao,2026,ACM FSE 2026 Industry Papers,https://doi.org/10.1145/3803437.3805235,https://dl.acm.org/doi/10.1145/3803437.3805235,"Introduces ContextCRBench for hunk-quality assessment, line-level defect localization, and comment generation with issue and surrounding-code context.",Conference industry paper,core,Direct benchmark of context-sensitive LLM code review and the benefit of textual versus code context.,Published ACM version; preprint arXiv:2511.07017 is an earlier version.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Improving Automated Code Reviews: Learning from Experience,Hong Yi Lin; Patanamon Thongtanunam; Christoph Treude; Wachiraphan Charoenwet,2024,MSR 2024,https://doi.org/10.1145/3643991.3644910,https://dl.acm.org/doi/10.1145/3643991.3644910,"Evaluates experience-aware oversampling for improving correctness, information content, and meaningfulness of generated code reviews without adding new training data.",Conference paper,core,"Directly evaluates generated review-comment quality across correctness, information, and meaningfulness.",Published ACM/IEEE conference version; preprint arXiv:2402.03777 is the same work.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Understanding Practitioners' Expectations on Clear Code Review Comments,Junkai Chen; Zhenhao Li; Qiheng Mao; Xing Hu; Kui Liu; Xin Xia,2025,Proceedings of the ACM on Software Engineering 2 (ISSTA),https://doi.org/10.1145/3728931,https://dl.acm.org/doi/10.1145/3728931,Empirically studies practitioners' expectations for clear review comments and evaluates comment clarity.,Journal/conference proceedings article,core,Defines and evaluates a human-centered quality dimension directly applicable to LLM-generated review comments.,,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,AI-Assisted Assessment of Coding Practices in Modern Code Review,Manushree Vijayvergiya; Małgorzata Salawa; Ivan Budiselić; Dan Zheng; Pascal Lamblin; Marko Ivanković; Juanjo Carin; Mateusz Lewko; Jovan Andonov; Goran Petrović; Daniel Tarlow; Petros Maniatis; René Just,2024,AIware 2024,https://doi.org/10.1145/3664646.3665664,https://dl.acm.org/doi/10.1145/3664646.3665664,"Reports the development, deployment, and evaluation of AutoCommenter, an LLM-backed system that learns and enforces coding best practices in industrial code review.",Conference paper,core,Direct industrial evaluation of an LLM system that emits review feedback and examines workflow adoption.,Published ACM version; preprint arXiv:2405.13565 is the same work.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
ACM Digital Library,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,A Roadmap for Modern Code Review: Challenges and Opportunities,Zezhou Yang; Cuiyun Gao; Zhaoqiang Guo; Zhenhao Li; Kui Liu; Xin Xia; Yuming Zhou,2026,ACM Transactions on Software Engineering and Methodology,https://doi.org/10.1145/3800963,https://dl.acm.org/doi/10.1145/3800963,"Synthesizes modern code-review research and proposes shifts toward context-aware proactivity, value-driven evaluation, and human-centric symbiosis.",Journal survey/roadmap,supporting,"Provides the evaluation and human-AI framing needed to interpret usefulness, context, adoption, and value trade-offs.",,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
