Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
SA2Pat: enhancing binary security patch function localization via security advisory-guided LLMs,Empirical Software Engineering,,,,10.1007/s10664-026-10942-z,Zetan LiXiaoya ZhuZhuo LiMin LiCong LiXiaokang YinYaobin XieShengli Liu,2026,https://link.springer.com/article/10.1007/s10664-026-10942-z,Article
Large language models in manufacturing: a comprehensive review,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-026-18711-4,Mazdak MaghanakiMohammad ShahinF. Frank Chen,2026,https://link.springer.com/article/10.1007/s00170-026-18711-4,Article
Balancing usefulness and naturalness: an LLM-based curation pipeline for code review comments,Empirical Software Engineering,,,,10.1007/s10664-026-10928-x,Oussama Ben SghaierMartin WeyssowHouari Sahraoui,2026,https://link.springer.com/article/10.1007/s10664-026-10928-x,Article
QualiTagger: automating software quality categorization in issue trackers,Software Quality Journal,,,,10.1007/s11219-026-09775-2,Karthik ShivashankarRafael CapillaMaren Maritsdatter KrukeMili OrucevicAntonio Martini,2026,https://link.springer.com/article/10.1007/s11219-026-09775-2,Article
Evaluating foundation model integration strategies for detecting PII in java software engineering pipelines,Empirical Software Engineering,,,,10.1007/s10664-026-10919-y,Fabiano Damasceno Sousa FalcãoEdna Dias Canedo,2026,https://link.springer.com/article/10.1007/s10664-026-10919-y,Article
A data-centric trust pipeline:an empirical framework for trustworthy AI in sensitive domains,AI and Ethics,,,,10.1007/s43681-026-01247-4,Carlos Diego Cavalcanti Pereira,2026,https://link.springer.com/article/10.1007/s43681-026-01247-4,Article
The adaptive learning taxonomy for responsible large language model integration in higher education,Discover Artificial Intelligence,,,,10.1007/s44163-026-01528-1,Simon BaradziejAdrianna Kochanska,2026,https://link.springer.com/article/10.1007/s44163-026-01528-1,Article
Episodic oversight in generative AI workflows: A nine-step protocol for preserving human agency (OP-9),Electronic Markets,,,,10.1007/s12525-026-00915-x,Eylem TaşLucas MemmertEva Bittner,2026,https://link.springer.com/article/10.1007/s12525-026-00915-x,Article
TagDebt: a bot to support technical debt management,Empirical Software Engineering,,,,10.1007/s10664-026-10900-9,João Paulo BiazottoDaniel FeitosaParis AvgeriouElisa Yumi Nakagawa,2026,https://link.springer.com/article/10.1007/s10664-026-10900-9,Article
"An empirical study on logging evolution on stack overflow: trends, topics, and challenges",Empirical Software Engineering,,,,10.1007/s10664-026-10899-z,Patrick Loic FoalemAndre NguimbousFoutse KhomhHeng LiEttore Merlo,2026,https://link.springer.com/article/10.1007/s10664-026-10899-z,Article
Scalable code generation with large language models: an open-source ensemble and reinforcement learning–based selector,Software Quality Journal,,,,10.1007/s11219-026-09766-3,Mohammed A. ShehabSafwan OmariMohammad WardatYaser Jararweh,2026,https://link.springer.com/article/10.1007/s11219-026-09766-3,Article
Line-level bug-finding power of static analysis rules: a case study of&#xa0;Teamscale&#xa0;,Empirical Software Engineering,,,,10.1007/s10664-026-10895-3,Liwei YeYuge NieYufei ZhouYibiao YangHongmin LuJunyan QianYuming Zhou,2026,https://link.springer.com/article/10.1007/s10664-026-10895-3,Article
CupCleaner: a hybrid data cleaning approach for comment updating,Science China Information Sciences,,,,10.1007/s11432-024-4637-2,Qingyuan LiangZeyu SunQihao ZhuJunhao HuYifan ZhaoYakun ZhangLu Zhang,2026,https://link.springer.com/article/10.1007/s11432-024-4637-2,Article
Diversity’s role in collaboration and conflict: a case-study of React.js,Empirical Software Engineering,,,,10.1007/s10664-026-10893-5,Kezia DevathasanJingchang ChenPuwentao YanGema Rodríguez-PérezTony ClearDaniela Damian,2026,https://link.springer.com/article/10.1007/s10664-026-10893-5,Article
A Systematic Review and Prospect of Hybrid Simulation Methods and Applications from 1980 to 2024,Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10607-6,Fengwei JiaHongli ZhuFengyuan JiaChangyan ShihZhaosheng YaoShiyong LiuWai Kin Chan,2026,https://link.springer.com/article/10.1007/s11831-026-10607-6,Article
Open source software development tool installation,Empirical Software Engineering,,,,10.1007/s10664-026-10885-5,Larissa SalernoChristoph TreudePatanamon Thongtanunam,2026,https://link.springer.com/article/10.1007/s10664-026-10885-5,Article
Effective Fine-tuning for Low-resource Languages: A Case Study of Cangjie,Empirical Software Engineering,,,,10.1007/s10664-026-10878-4,Zhihao LinZhaofeng LiuMingyi ZhouZihan HuangChi ChenWei MaLi Li,2026,https://link.springer.com/article/10.1007/s10664-026-10878-4,Article
