project_id,candidate_id,arxiv_id,provisional_decision,evidence_tier,reconciliation_status
P72,ARXIV-0003,2607.25851v1,freeze_ready_core,core,freeze_ready
P73,ARXIV-0005,2607.24601v1,freeze_ready_core,core,freeze_ready
P74,ARXIV-0009,2607.16740v1,freeze_ready_core,core,freeze_ready
P75,ARXIV-0014,2607.09524v1,freeze_ready_core,core,freeze_ready
P76,ARXIV-0017,2607.06065v1,freeze_ready_core,core,freeze_ready
P77,ARXIV-0020,2607.03316v2,freeze_ready_core,core,freeze_ready
P78,ARXIV-0031,2606.13757v2,freeze_ready_core,core,freeze_ready
P79,ARXIV-0036,2606.01859v1,freeze_ready_core,core,freeze_ready
P80,ARXIV-0040,2605.23108v1,freeze_ready_core,core,freeze_ready
P81,ARXIV-0053,2604.24525v1,freeze_ready_core,core,freeze_ready
P82,ARXIV-0061,2604.14408v1,freeze_ready_core,core,freeze_ready
P83,ARXIV-0068,2606.15689v1,freeze_ready_core,core,freeze_ready
P84,ARXIV-0075,2603.24359v1,freeze_ready_core,core,freeze_ready
P85,ARXIV-0079,2603.16107v1,freeze_ready_core,core,freeze_ready
P86,ARXIV-0093,2602.11925v1,freeze_ready_core,core,freeze_ready
P87,ARXIV-0098,2602.05270v2,freeze_ready_core,core,freeze_ready
P88,ARXIV-0102,2601.19494v3,freeze_ready_core,core,freeze_ready
P89,ARXIV-0103,2601.19287v1,freeze_ready_core,core,freeze_ready
P90,ARXIV-0104,2601.19138v1,freeze_ready_core,core,freeze_ready
P91,ARXIV-0112,2601.04252v1,freeze_ready_core,core,freeze_ready
P92,ARXIV-0122,2511.09223v1,freeze_ready_core,core,freeze_ready
P93,ARXIV-0124,2511.05302v2,freeze_ready_core,core,freeze_ready
P94,ARXIV-0126,2511.00517v1,freeze_ready_core,core,freeze_ready
P95,ARXIV-0128,2510.26457v1,freeze_ready_core,core,freeze_ready
P96,ARXIV-0133,2510.10290v1,freeze_ready_core,core,freeze_ready
P97,ARXIV-0135,2510.05450v1,freeze_ready_core,core,freeze_ready
P98,ARXIV-0140,2509.21170v1,freeze_ready_core,core,freeze_ready
P99,ARXIV-0141,2509.14856v3,freeze_ready_core,core,freeze_ready
P100,ARXIV-0148,2508.18771v2,freeze_ready_core,core,freeze_ready
P101,ARXIV-0152,2508.12358v1,freeze_ready_core,core,freeze_ready
P102,ARXIV-0157,2508.08661v1,freeze_ready_core,core,freeze_ready
P103,ARXIV-0159,2508.02732v1,freeze_ready_core,core,freeze_ready
P104,ARXIV-0163,2507.19271v2,freeze_ready_core,core,freeze_ready
P105,ARXIV-0164,2507.19115v2,freeze_ready_core,core,freeze_ready
P106,ARXIV-0165,2507.18476v1,freeze_ready_core,core,freeze_ready
P107,ARXIV-0171,2506.00296v1,freeze_ready_core,core,freeze_ready
P108,ARXIV-0173,2505.20206v1,duplicate_existing_search_queue,core,duplicate_existing_search_queue
P109,ARXIV-0176,2505.17928v2,freeze_ready_core,core,freeze_ready
P110,ARXIV-0177,2505.16339v1,freeze_ready_core,core,freeze_ready
P111,ARXIV-0185,2503.17302v1,freeze_ready_core,core,freeze_ready
P112,ARXIV-0190,2502.20747v1,freeze_ready_core,core,freeze_ready
P113,ARXIV-0199,2412.20340v2,freeze_ready_core,core,freeze_ready
P114,ARXIV-0202,2412.15676v1,freeze_ready_core,core,freeze_ready
P115,ARXIV-0208,2411.11401v3,freeze_ready_core,core,freeze_ready
P116,ARXIV-0217,2409.19801v2,duplicate_existing_search_queue,core,duplicate_existing_search_queue
P117,ARXIV-0224,2407.02824v1,freeze_ready_core,core,freeze_ready
P118,ARXIV-0241,2402.03777v1,freeze_ready_core,core,freeze_ready
P119,ARXIV-0242,2402.02172v5,freeze_ready_core,core,freeze_ready
P120,ARXIV-0244,2402.00905v4,freeze_ready_core,core,freeze_ready
P121,ARXIV-0246,2401.16310v6,freeze_ready_core,core,freeze_ready
P122,ARXIV-0248,2312.17485v1,freeze_ready_core,core,freeze_ready
P123,ARXIV-0276,2207.11627v1,freeze_ready_core,core,freeze_ready
