candidate_id,title,authors,year,venue,doi,arxiv_id,source_url,source_databases,abstract_or_snippet,evidence_availability,title_abstract_decision,full_text_status,full_text_decision,exclusion_reason,decision_rationale,screening_reviewer,screening_date
POOL-0418,Digital Rubber Duck: Leveraging Large Language Models for Extreme Programming,Timothy Elvira; T. Procko; J. Couder; Omar Ochoa,2023,"2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)",10.1109/csce60160.2023.00051,,https://www.semanticscholar.org/paper/cc66ad4498322c52efcc6b3162ced71de2220728,semantic_scholar,"The recent prevalence of Large Language models (LLMs), e.g., GPT-3.5 and GPT-4, has brought about a new age of man-computer symbiosis, where LLMs are employed for a litany of creative, constructive, scientific, or otherwise content-generative tasks, e.g., as general chatbot assistants, writing editors, digital subject matter experts, programming consultants, and so on. Of interest to software engineers is the concept of “rubber duck debugging”, which is the act of expressing code, line-by-line, in natural language, to an inanimate object, e.g., a rubber duck, for the purpose of elucidating potential issues that can then be corrected. In this paper, we detail a workflow process that leverages the concept of rubber duck debugging, replacing the duck with a capable LLM, e.g., GPT-4. We call it Digital Rubber Duck Programming. Furthermore, the Extreme Programming (XP) method, an implementation of the Agile paradigm, is considered as easily integrated with the proposed workflow, as XP is performed in pairs (much like the modern software engineer works in pairwise fashion with an LLM) and because XP places emphasis on performing extensive code reviews and unit testing all code, which capable LLMs like GPT-4 can facilitate.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0419,Context-Aware IDE Systems Using Large Language Models and Semantic Memory Architectures,Yasodhara Srinivas Aluri,2023,International Journal of Emerging Trends in Computer Science and Information Technology,10.63282/3050-9246.ijetcsit-v4i2p124,,https://www.semanticscholar.org/paper/5067688ccfa9f77575234e56139a1751ba8338a6,semantic_scholar,"The fast evolution of software engineering practices has made the integrated development environment (IDE) increasingly complex and required the evolution of intelligent systems to interpret the intent of the developer, the contextual programming patterns and the long-term semantic relationships in large-scale software repositories. The syntax-aware compilation engines, static code analysis mechanisms, and rule-based auto-completion frameworks are the most classical approaches used by traditional IDEs. All of these methods enhance the productivity of programming, but still inadequate in addressing semantic understanding, adaptive reasoning, contextual adaptation, and cross-project memory retention. Large Language Models (LLMs) have revolutionized intelligent software development with their ability to interpret natural language, generate code, debug, refine code semantically, provide recommendations, and offer conversational programming support. But separate LLM-based IDE assistants have drawbacks, such as hallucination, poor session memory, high compute costs, lack of repository knowledge, and lack of personalization for enterprise-scale software development workflows. This research provides a comprehensive framework for the Context-Aware IDE Systems with the support of the Large Language Models and Semantic Memory Architectures. The proposed architecture combines transformer-based LLM reasoning engines, semantic memory layers, vector embedding repositories, retrieval-augmented generation pipelines, contextual indexing systems, adaptive developer profiling modules, and intelligent orchestration engines. The framework allows IDE environments to be persistent about their contextual awareness with the user, to understand the intent of software engineering, to understand the architectural dependencies, to retrieve semantically relevant code artifacts, and to generate context-specific recommendations to the user. The proposed architecture will benefit developer productivity while reducing the cognitive load, debugging complexity and software maintenance burden. The study proposes a hierarchical semantic memory architecture consisting of a short-term operational memory, episodic developer interaction memory, long-term repository semantic memory and organizational knowledge graphs. Transformer encoders create embeddings that can be used in high-dimensional similarity search operations using vector databases. The retrieval-augmented generation (RAG) mechanism retrieves contextually relevant information before an LLM produces a response, which boosts factual consistency, minimizes hallucinations, and increases the accuracy of repository-specific reasoning. Machine learning is also woven through every part of architecture, including context orchestration pipelines to handle prompt optimization, dependency tracking, discovery of API contracts, code lineage analysis, and even identification of architectural patterns. The proposed methodology also involves adaptive learning mechanisms to constantly review the developers' coding behavior, refactoring preferences, debugging patterns, trends of using the frameworks, and interactions during code review. It creates semantic developer profiles to provide personalized code completion, architectural optimization, security compliance, testing automation and performance tuning recommendations. What's more, the framework supports semantic dependency graphs and can model inter-component relationships between microservices, APIs, databases, and between frontends and backends. This research is conducted to assess the proposed system in enterprise scale software repositories on distributed development environment. Experimental tests show significant gains in contextual code completion accuracy, semantic retrieval precision, debugging efficiency, developer productivity, understanding the repository, and reducing cognitive load. When it comes to coding assistance through LLM, the syntax-aware and stateless approaches do not match up to the semantic-memory-based coding architectures. The quantitative results show that the accuracy of contextual code generation improved by 38%, relevance of the retrieved semantic improved by 41%, debugging efficiency improved by 35%, and the precision of the proposed architecture improved by 32%. The research also delves into engineering problems such as memory synchronization, token optimization, scalability of prompts for a vector database, indexing efficiency, limitations on response time, maintaining privacy, and distribution of computing resources. Additional security features like secure repository embedding, access controlled semantic indexing, encrypted vector storage and governance aware inference pipeline are also covered. The study demonstrates that semantic-memory-integrated LLM IDE systems constitute a fundamental paradigm shift in intelligent software engineering environments and lay the groundwork for future autonomous software development ecosystems.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0420,ChatGPT: A Study on its Utility for Ubiquitous Software Engineering Tasks,G. Sridhara; Ranjani Hosakere Gireesha; Sourav Mazumdar,2023,arXiv.org,10.48550/arxiv.2305.16837,2305.16837,https://www.semanticscholar.org/paper/49f8a40aea0e945bd8b15019a3e4b1bb1c9279ea,semantic_scholar,"ChatGPT (Chat Generative Pre-trained Transformer) is a chatbot launched by OpenAI on November 30, 2022. OpenAI's GPT-3 family of large language models serve as the foundation for ChatGPT. ChatGPT is fine-tuned with both supervised and reinforcement learning techniques and has received widespread attention for its articulate responses across diverse domains of knowledge. In this study, we explore how ChatGPT can be used to help with common software engineering tasks. Many of the ubiquitous tasks covering the breadth of software engineering such as ambiguity resolution in software requirements, method name suggestion, test case prioritization, code review, log summarization can potentially be performed using ChatGPT. In this study, we explore fifteen common software engineering tasks using ChatGPT. We juxtapose and analyze ChatGPT's answers with the respective state of the art outputs (where available) and/or human expert ground truth. Our experiments suggest that for many tasks, ChatGPT does perform credibly and the response from it is detailed and often better than the human expert output or the state of the art output. However, for a few other tasks, ChatGPT in its present form provides incorrect answers and hence is not suited for such tasks.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0421,ChatGPT in the Classroom. Exploring Its Potential and Limitations in a Functional Programming Course,Dan-Matei Popovici,2023,International journal of human computer interactions,10.1080/10447318.2023.2269006,2401.11166,https://www.semanticscholar.org/paper/76f894bd6da252eae4a48cad300d0279061ea087,semantic_scholar,"Abstract In November 2022, OpenAI has introduced ChatGPT – a chatbot based on supervised and reinforcement learning. Not only can it answer questions emulating human-like responses, but it can also generate code from scratch or complete coding templates provided by the user. ChatGPT can generate unique responses which render any traditional anti-plagiarism tool useless. Its release has ignited a heated debate about its usage in academia, especially by students. We have found, to our surprise, that our students at POLITEHNICA University of Bucharest (UPB) have been using generative AI tools (ChatGPT and its predecessors) for solving homework, for at least 6 months. We therefore set out to explore the capabilities of ChatGPT and assess its value for educational purposes. We used ChatGPT to solve all our coding assignments for the semester from our UPB Functional Programming course. We discovered that, although ChatGPT provides correct answers in 68% of the cases, only around half of those are legible solutions which can benefit students in some form. On the other hand, ChatGPT has a very good ability to perform code review on student programming homework. Based on these findings, we discuss the pros and cons of ChatGPT in a teaching environment, as well as means for integrating GPT models for generating code reviews, in order to improve the code-writing skills of students.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0422,"ChatGPT for Vulnerability Detection, Classification, and Repair: How Far Are We?",Michael Fu; C. Tantithamthavorn; V. Nguyen; Trung Le,2023,Asia-Pacific Software Engineering Conference,10.1109/apsec60848.2023.00085,2310.09810,https://www.semanticscholar.org/paper/0e889624c8d96cfffb310b81eb1c7ce7f8dfe39e,semantic_scholar,"Large language models (LLMs) like ChatGPT (i.e., gpt-3.5-turbo and gpt-4) exhibited remarkable advancement in a range of software engineering tasks associated with source code such as code review and code generation. In this paper, we undertake a comprehensive study by instructing ChatGPT for four prevalent vulnerability tasks: function and line-level vulnerability prediction, vulnerability classification, severity estimation, and vulnerability repair. We compare ChatGPT with state-of-the-art language models designed for software vulnerability purposes. Through an empirical assessment employing extensive real-world datasets featuring over 190,000 C/C++ functions, we found that ChatGPT achieves limited performance, trailing behind other language models in vulnerability contexts by a significant margin. The experimental outcomes highlight the challenging nature of vulnerability prediction tasks, requiring domain-specific expertise. Despite ChatGPT's substantial model scale, exceeding that of source code-pre-trained language models (e.g., CodeBERT) by a factor of 14,000, the process of fine-tuning remains imperative for ChatGPT to generalize for vulnerability prediction tasks. We publish the studied dataset, experimental prompts for ChatGPT, and experimental results at https://github.com/awsm-research/ChatGPT4Vul.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0423,ChatGPT for Software Security: Exploring the Strengths and Limitations of ChatGPT in the Security Applications,Zhilong Wang; Lan Zhang; Peng Liu,2023,arXiv.org,10.48550/arxiv.2307.12488,,https://www.semanticscholar.org/paper/b9b9bc703a937020311ac4a9ed9992b3a774e3d6,semantic_scholar,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0424,Automated Program Repair Based on Code Review: How do Pre-trained Transformer Models Perform?,Rishov Paul; Md. Mohib Hossain; Masum Hasan; Anindya Iqbal,2023,arXiv.org,10.48550/arxiv.2304.07840,,https://www.semanticscholar.org/paper/df41c5e9c62371a2091f5e209e30cbb50c4acf3b,semantic_scholar,,metadata_only,pending_metadata_only,pending_acquisition,,,,,
POOL-0425,AI-Powered Code Review Enhancing Software Quality with Intelligent Agents,Ravikanth Konda,2023,International Journal of Leading Research Publication,10.70528/ijlrp.v4.i3.1541,,https://www.semanticscholar.org/paper/40026e73a3159e37e6905e2c905f9f04b8bf532c,semantic_scholar,"The constantly changing world of software development requires incessant advancements in quality control measures. Code review, the essential practice for detecting bugs, imposing coding standards, and maintaining software with ease, has historically been based on traditional methods. Yet, the conventional method is usually labor-intensive, irregular, and prone to human error. With the introduction of Artificial Intelligence (AI), code review is facing a revolutionary change. AI-based code review tools leverage intelligent agents like machine learning algorithms, AI-fortified static analysis tools, and large language models (LLMs) to automatically identify defects, propose improvements, and apply best practices. The tools can interpret code semantics, learn from past code changes, and predict upcoming defects. This paper presents a detailed examination of AI-driven code review mechanisms and their software quality implications. We investigate recent developments in the area, compare different tools and frameworks, and examine the effectiveness of AI in detecting bugs, improving readability, and enhancing code maintainability. Through a mix of literature review, experimental assessment, and developer feedback, this research illustrates how AI-driven code review systems play a critical role in improved software quality, accelerated development cycles, and lower technical debt. The conversation also covers the shortcomings of existing systems, ethical implications, and possible future developments.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0426,CoditT5: Pretraining for Source Code and Natural Language Editing,Jiyang Zhang; Sheena Panthaplackel; Pengyu Nie; Junyi Jessy Li; Miloš Gligorić,2022,International Conference on Automated Software Engineering,10.1145/3551349.3556955,2208.05446,https://www.semanticscholar.org/paper/7018ff49ca3b81f2ed6228b097a471c2529986e4,acm;semantic_scholar,"Pretrained language models have been shown to be effective in many software-related generation tasks; however, they are not well-suited for editing tasks as they are not designed to reason about edits. To address this, we propose a novel pretraining objective which explicitly models edits and use it to build CoditT5, a large language model for software-related editing tasks that is pretrained on large amounts of source code and natural language comments. We fine-tune it on various downstream editing tasks, including comment updating, bug fixing, and automated code review. By outperforming standard generation-based models, we demonstrate the generalizability of our approach and its suitability for editing tasks. We also show how a standard generation model and our edit-based model can complement one another through simple reranking strategies, with which we achieve state-of-the-art performance for the three downstream editing tasks.",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
POOL-0428,"More Code, Less Reuse: Investigation on Code Quality and Reviewer Sentiment towards AI-generated Pull Requests",Haoming Huang; Pongchai Jaisri; Shota Shimizu; Lingfeng Chen; Sota Nakashima; Gema Rodríguez-Pérez,2026,MSR '26: Proceedings of the 23rd International Conference on Mining Software Repositories,10.1145/3793302.3793622,,https://dl.acm.org/doi/10.1145/3793302.3793622,acm,"Large Language Model (LLM) Agents are advancing quickly, with the increasing leveraging of LLM Agents to assist in development tasks such as code generation. While LLM Agents accelerate code generation, studies indicate they may introduce adverse effects ...",abstract_or_snippet,pending_manual_screening,pending_acquisition,,,,,
