rank,title,authors,publication_type,published_date,publication,doi,url,abstract_snippet
1,Understanding Dominant Themes in Reviewing Agentic AI-authored Code,Md. Asif Haider; Thomas Zimmermann,short-paper,July 2026,MSR '26: Proceedings of the 23rd International Conference on Mining Software Repositories,10.1145/3793302.3793566,https://dl.acm.org/doi/10.1145/3793302.3793566,"While prior work has examined the generation capabilities of Agentic AI systems, little is known about how reviewers respond to AI-authored code in practice. In this paper, we present a large-scale empirical study of code review dynamics in agent-..."
2,Secret Leak Detection in Software Issue Reports using LLMs: A Comprehensive Evaluation,Sadif Ahmed; Md Nafiu Rahman; Zahin Wahab; Gias Uddin; Rifat Shahriyar,research-article,July 2026,MSR '26: Proceedings of the 23rd International Conference on Mining Software Repositories,10.1145/3793302.3793348,https://dl.acm.org/doi/10.1145/3793302.3793348,"In the digital era, accidental exposure of sensitive information such as API keys, tokens, and credentials is a growing security threat. While most prior work focuses on detecting secrets in source code, leakage in software issue reports remains largely ..."
3,How should self-deprecation comments be classified? A toxicity analysis study on Zephyr,Satyanarayana Chowdary Kadiyala; Jaydeb Sarker; Bianca Trinkenreich,short-paper,July 2026,NLBSE '26: Proceedings of the 5th International Workshop on Natural Language-based Software Engineering,10.1145/3786164.3788447,https://dl.acm.org/doi/10.1145/3786164.3788447,"Background: Toxic language in Open Source Software (OSS) code reviews can harm contributor well-being and retention. Detecting toxicity is especially challenging for context-dependent language, such as self-deprecation, expressions that may include strong ..."
4,"More Code, Less Reuse: Investigation on Code Quality and Reviewer Sentiment towards AI-generated Pull Requests",Haoming Huang; Pongchai Jaisri; Shota Shimizu; Lingfeng Chen; Sota Nakashima; Gema Rodríguez-Pérez,short-paper,July 2026,MSR '26: Proceedings of the 23rd International Conference on Mining Software Repositories,10.1145/3793302.3793622,https://dl.acm.org/doi/10.1145/3793302.3793622,"Large Language Model (LLM) Agents are advancing quickly, with the increasing leveraging of LLM Agents to assist in development tasks such as code generation. While LLM Agents accelerate code generation, studies indicate they may introduce adverse effects ..."
5,Adversarial Bug Reports as a Security Risk in Language Model-Based Automated Program Repair,Piotr Przymus; Andreas Happe; Jurgen Cito,research-article,July 2026,MSR '26: Proceedings of the 23rd International Conference on Mining Software Repositories,10.1145/3793302.3793352,https://dl.acm.org/doi/10.1145/3793302.3793352,"Large Language Model (LLM) - based Automated Program Repair (APR) systems are increasingly integrated into modern software development workflows, offering automated patches in response to natural language bug reports. However, this reliance on untrusted ..."
6,NLBSE '26: Proceedings of the 5th International Workshop on Natural Language-based Software Engineering,,proceeding,July 2026,,10.1145/3786164,https://dl.acm.org/doi/proceedings/10.1145/3786164,
7,MSR '26: Proceedings of the 23rd International Conference on Mining Software Repositories,,proceeding,July 2026,,10.1145/3793302,https://dl.acm.org/doi/proceedings/10.1145/3793302,
8,Evolving Kubernetes: A Technical Debt Perspective,Jesse Maarleveld; Giuseppe Destefanis; Daniel Feitosa,research-article,July 2026,MSR '26: Proceedings of the 23rd International Conference on Mining Software Repositories,10.1145/3793302.3793335,https://dl.acm.org/doi/10.1145/3793302.3793335,"Kubernetes is one of the most active and long-lived open source projects, supporting core infrastructure for organisations worldwide. Its decade-long development has involved major architectural changes, multiple governance layers, and sustained efforts ..."
9,Studying Quality Improvements Recommended via Manual and Automated Code Review,Giuseppe Crupi; Rosalia Tufano; Gabriele Bavota,research-article,July 2026,ICPC '26: Proceedings of the 2026 34th IEEE/ACM International Conference on Program Comprehension,10.1145/3794763.3794809,https://dl.acm.org/doi/10.1145/3794763.3794809,"Several Deep Learning (DL)-based techniques have been proposed to automate code review. Still, it is unclear the extent to which these approaches can recommend quality improvements as a human reviewer. We study the similarities and differences between ..."
10,ICPC '26: Proceedings of the 2026 34th IEEE/ACM International Conference on Program Comprehension,,proceeding,July 2026,,10.1145/3794763,https://dl.acm.org/doi/proceedings/10.1145/3794763,
11,A Human-in-the-Loop LLM Agent Framework with LoRA Domain Adaptation for DO-330 TQL-1 Tool Qualification,Yidan Ding; Linghui Wang; Yaxin Pan; Dehao Lu; Supeng Wu,research-article,July 2026,"CNCIT '26: Proceedings of the 2026 5th International Conference on Networks, Communications and Information Technology",10.1145/3821162.3821169,https://dl.acm.org/doi/10.1145/3821162.3821169,"Civil airborne software certification follows RTCA/DO-178C, and tools used in its development and verification must be qualified per RTCA/DO-330. For TQL-1 tools—the highest qualification level—the strict criteria, the demand for detailed process data, ..."
12,PEARC '26: Proceedings of the Practice and Experience in Advanced Research Computing 2026: Resilient Roots + Empowered Communities,Shafaq Chaudhry; Tabitha Samuel; Shava Smallen; Gladys Andino; Weronika Filinger,proceeding,July 2026,,10.1145/3785462,https://dl.acm.org/doi/proceedings/10.1145/3785462,
13,"CNCIT '26: Proceedings of the 2026 5th International Conference on Networks, Communications and Information Technology",,proceeding,July 2026,,10.1145/3821162,https://dl.acm.org/doi/proceedings/10.1145/3821162,
14,XMENTOR: A Rank-Aware Aggregation Approach for Human-Centered Explainable AI in Just-in-Time Software Defect Prediction,Saumendu Roy; Banani Roy; Chanchal Roy; Richard Bassey,research-article,July 2026,FORGE '26: Proceedings of the 2026 IEEE/ACM Third International Conference on AI Foundation Models and Software Engineering,10.1145/3793655.3793736,https://dl.acm.org/doi/10.1145/3793655.3793736,"Machine learning (ML)-based defect prediction models can improve software quality. However, their opaque reasoning creates an HCI challenge because developers struggle to trust models they cannot interpret. Explainable AI (XAI) methods such as LIME, SHAP, ..."
