ID,BibTeX Key,Source Title,Source Year,Main Topic Area,Main Relevance to Our Paper,Gap / Limitation Type,Source Verification Status
P01,p01_lu2025_deepcrceval,DeepCRCEval: Revisiting the Evaluation of Code Review Comment Generation,2025,Evaluation of code review comment generation,Directly critiques conventional evaluation of code review comment generation and proposes richer evaluation.,Decision-level evaluation gap,Verified from Drive PDF publisher header + exact-title web search; Springer LNCS DOI retained
P02,p02_tantithamthavorn2026_hallujudge,HalluJudge: A Reference-Free Hallucination Detection for Context Misalignment in Code Review Automation,2026,Hallucination / grounding in code review,"Useful for grounding, context alignment, hallucination detection, and post-generation verification.",Preservation/cost gap,Verified from Drive PDF ACM header + exact-title web search; ACM DOI retained
P03,p03_tantithamthavorn2026_rovodev,RovoDev Code Reviewer: A Large-Scale Online Evaluation of LLM-based Code Review Automation at Atlassian,2026,Industrial LLM code review,Strong industrial online/offline evaluation with developer feedback and workflow impact.,Generalizability/reproducibility,Verified from Drive PDF ACM header + exact-title web search; ACM DOI retained
P04,p04_kumar2026_swe_prbench,SWE-PRBench: Benchmarking AI Code Review Quality Against Pull Request Feedback,2026,Pull-request-level benchmark,Provides human-annotated PR-level benchmark and evaluates model ability to catch human-flagged issues.,Decision-level evaluation gap,Checked via exact-title scholarly/web search + publisher/DOI search; only arXiv record found
P05,p05_zeng2025_swrbench,Benchmarking and Studying the LLM-based Code Review / SWRBench,2025,LLM code review benchmark,PR-centric benchmark with project context and structured ground truth for automated code review.,Decision-level evaluation gap,Checked via exact-title scholarly/web search + publisher/DOI search; only arXiv record found
P06,p06_hu2025_contextcrbench,Benchmarking LLMs for Fine-Grained Code Review with Enriched Context in Practice / ContextCRBench,2025,Context-enriched code review benchmark,"Highlights limitations of existing benchmarks: missing semantic context, noisy data, and coarse granularity.",Decision-level evaluation gap,Checked via exact-title scholarly/web search + publisher/DOI search; only arXiv record found
P07,p07_olewicki2024_revmate,Impact of LLM-based Review Comment Generation in Practice: A Mixed Open-/Closed-source User Study,2024,Human-centered code review assistance,Measures acceptance and practical effect of generated review comments in Mozilla and Ubisoft settings.,Controlled-comparison gap,Checked via exact-title scholarly/web search + publisher/DOI search; only arXiv record found
P08,p08_liu2025_too_noisy,Too Noisy To Learn: Enhancing Data Quality for Code Review Comment Generation,2025,Data quality for code review comment generation,Shows noisy review comments such as vague or non-actionable comments harm learning and evaluation.,Decision-level evaluation gap,Verified from DOI metadata / arXiv preprint; web search found no conflicting publication record
P09,p09_ren2025_hydra_reviewer,Hydra-Reviewer: A Holistic Multi-Agent System for Automatic Code Review Comment Generation,2025,Multi-agent code review generation,"Useful for multi-agent mitigation, comprehensiveness, vagueness, incorrectness, and cost analysis.",Preservation/cost gap,Rechecked via scholarly-style/web search + DOI/publisher search; official TSE DOI retained
P10,p10_sun2025_bitsai_cr,BitsAI-CR: Automated Code Review via LLM in Practice,2025,Industrial automated code review,"Industrial ByteDance deployment with rule checker, review filter, taxonomy, and adoption-oriented metric.",Generalizability/reproducibility,Rechecked via scholarly-style/web search + DOI/publisher search; official ACM/PACMSE DOI retained
P11,p11_zhang2025_laura,LAURA: Enhancing Code Review Generation with Context-Enriched Retrieval-Augmented LLM,2025,RAG for code review generation,Studies context enrichment and review knowledge augmentation for generated review comments.,Context/cost trade-off gap,Verified from user-provided IEEE Xplore publication page and DOI
P12,p12_wang2025_sgcr,SGCR: A Specification-Grounded Framework for Trustworthy LLM Code Review,2025,Specification-grounded code review,Grounds review generation in specifications and verifies issues; relevant for reliability and controllability.,Context-availability constraint,Verified from user-provided IEEE Xplore publication page and DOI
P13,p13_haider2024_prompting_finetuning,Prompting and Fine-tuning Large Language Models for Automated Code Review Comment Generation,2024,Prompting/fine-tuning for code review,Compares prompting/fine-tuning and shows how prior work evaluates generated review comments.,Decision-level evaluation gap,Checked via scholarly-style exact-title search + publisher/DOI search; only arXiv record found
P14,p14_li2022_codereviewer,Automating Code Review Activities by Large-Scale Pre-training / CodeReviewer,2022,Code review automation,"Foundational automated code review model covering quality estimation, comment generation, and code refinement.",Workflow-decision gap,Verified from DOI / arXiv preprint
P15,p15_lu2023_llama_reviewer,LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,2023,Fine-tuning for code review automation,Explores parameter-efficient fine-tuning for code review automation.,Decision-level evaluation gap,Verified from DOI / arXiv preprint
P16,p16_icoz2026_context_aware,Context-Aware Code Review Automation: A Retrieval-Augmented Approach,2026,Context-aware code review automation,Uses RAG and curated PR data to generate review comments; useful for context and semantic comment categories.,Context/cost trade-off gap,Verified public source
P17,p17_lin2025_codereviewqa,CodeReviewQA: The Code Review Comprehension Assessment for Large Language Models,2025,Code review comprehension benchmark,Assesses whether LLMs understand and address code review comments through reasoning steps.,Task-scope mismatch,Verified from DOI / arXiv preprint
P18,p18_bensghaier2025_curated_reviews,Harnessing Large Language Models for Curated Code Reviews,2025,Curated code reviews,Uses LLMs to curate code review data; useful for data-quality and annotation methodology.,Workflow-decision gap,Verified from repo paper note and DOI metadata
P19,p19_nguyen2025_fine_grained_classification,Exploring the Potential of Large Language Models in Fine-Grained Review Comment Classification,2025,Review comment classification,Potentially useful for taxonomy and classification of review comments.,Decision-level evaluation gap,Verified from user-provided IEEE Xplore publication page and DOI
P20,p20_hong2025_rag_reviewer,Retrieval-Augmented Code Review Comment Generation,2025,RAG for code review generation,Compares retrieval and generation for review comment generation.,Preservation/cost gap,Checked via exact-title scholarly/web search + publisher/DOI search; only arXiv record found
P21,p21_peng2025_icodereviewer,iCodeReviewer: Improving Secure Code Review with Mixture of Prompts,2025,Secure code review,Uses mixture-of-prompts for secure code review and discusses precision/coverage/hallucination.,Domain-specific scope,Verified from DOI / arXiv preprint
P22,p22_jaoua2025_static_analyzers,Combining Large Language Models with Static Analyzers for Code Review Generation,2025,Static analysis + LLM code review,Combines static analyzers with LLMs; relevant to post/pre verification and precision trade-offs.,Tool-signal validity risk,Verified from DOI / arXiv preprint
P23,p23_lin2026_reviewer_experience,Leveraging Reviewer Experience in Code Review Comment Generation,2026,Reviewer experience in review generation,Could help discuss reviewer expertise and context-sensitive comments.,Data-availability constraint,Verified from Drive PDF
P24,p24_bensghaier2025_reward_models,Leveraging Reward Models for Guiding Code Review Comment Generation,2025,Reward models for code review,Potentially relevant for preference modeling and comment quality scoring.,Evaluator/preference-data risk,Checked via exact-title scholarly/web search + publisher/DOI search; only arXiv record found
P25,p25_yu2024_finetuning_acr,Fine-Tuning Large Language Models to Improve Accuracy and Comprehensibility of Automated Code Review,2024,Fine-tuning for automated code review,Potentially useful for accuracy/comprehensibility framing.,Preservation/cost gap,Verified from Drive PDF
P26,p26_zhong2026_human_ai_synergy,Human-AI Synergy in Agentic Code Review,2026,Human-AI code review,Compares human and AI agent feedback and adoption in large-scale review conversations.,Reproducibility/artifact gap,Checked via exact-title scholarly/web search + publisher/DOI search; only arXiv record found
P27,p27_chowdhury2026_industry_claims,From Industry Claims to Empirical Reality: An Empirical Study of Code Review Agents in Pull Requests,2026,Code review agents in PRs,Studies code review agents in PRs and connects feedback quality with PR outcomes.,Observational-validity risk,Verified from DOI / arXiv preprint
P28,p28_heander2025_support_not_automation,"Support, Not Automation: Towards AI-supported Code Review for Code Quality and Beyond",2025,AI-supported code review,"Useful for positioning our work as evaluation for AI-supported, not fully automated, review.",Operationalization gap,Verified from Drive PDF
P29,p29_wang2025_human_evaluators,Can LLMs Replace Human Evaluators? An Empirical Study of LLM-as-a-Judge in Software Engineering,2025,LLM-as-a-Judge in software engineering,Important cautionary paper for using LLM-as-judge in software engineering evaluation.,Evaluator-validity scope,Verified from repo paper note and DOI metadata
P30,p30_weyssow2025_codeultrafeedback,CodeUltraFeedback: An LLM-as-a-Judge Dataset for Aligning Large Language Models to Coding Preferences,2026,LLM-as-a-Judge dataset,"Useful for coding preferences, LLM-as-judge, and evaluation of generated coding artifacts.",Evaluator/preference-data risk,Verified from user-provided ACM Digital Library page and DOI
P31,p31_jiang2025_codejudgebench,CodeJudgeBench: Benchmarking LLM-as-a-Judge for Coding Tasks,2025,LLM-as-a-Judge benchmark,Evaluates judge models for coding tasks and highlights variability/order sensitivity.,Task-scope mismatch,Verified public source
P32,p32_zhao2026_bias_loop,Bias in the Loop: Auditing LLM-as-a-Judge for Software Engineering,2026,Bias in LLM-as-a-Judge,Audits prompt bias and instability in LLM-as-judge for SE artifacts.,Evaluator-bias risk,Verified from repo paper note / arXiv metadata
P33,p33_he2025_llmjudge_se,"LLM-as-a-Judge for Software Engineering: Literature Review, Vision, and the Road Ahead",2026,LLM-as-a-Judge survey,Survey of LLM-as-judge in SE; helpful for framing evaluator design and risks.,Operationalization gap,Verified from user-provided ACM Digital Library page and DOI
