rank,scholar_id,title,result_url,authors_publication,publication_year,snippet
1,q5qFMpoglJcJ,"Bridging the Gap Between Neural Code Generation and Architectural Integrity: A Multi-Dimensional Analysis Of AI-Driven Code Review, Cognitive Complexity, And …",http://irjernet.net/index.php/eisstss/article/view/27,"J Thorne - … Innovations Frontiers: Science, Technology, and Social …, 2026 - irjernet.net",2026,"8 روز پیش - … into the current state of automated code review and neural code generation, … of parameter-efficient fine-tuning for code review automation. The findings suggest that while …"
2,9rl0HKQMfkUJ,[PDF][PDF] E4R-Reviewer: Effective and Explainable Automated Code Review via End-to-End Reasoning-Guided Alignment,https://yangli8953.github.io/E4R-Reviewer-Camera.pdf,"Y LIU, X HOU, LI YANG, H LIU, C ZHU, F ZHANG… - 2026 - yangli8953.github.io",2026,"23 روز پیش - … Code review is a key practice for ensuring software quality and maintainability. Despite progress in Automated Code Review (… Furthermore, Large Language Model (LLM) …"
3,ww46QUlF3EYJ,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,https://arxiv.org/abs/2607.13196,"S Zhong, S Noei, B Adams, Y Zou - arXiv preprint arXiv:2607.13196, 2026 - arxiv.org",2026,23 روز پیش - … code review is shifting from a primarily human review process toward AI-supported review processes in which large language model … across three code review eras: human…
4,LxvhElbRUiYJ,Beyond Refusal: A Same-Lineage Study of Aligned and Abliterated LLMs for Vulnerability Analysis,https://arxiv.org/abs/2607.05842,"M Li, M Qiu, Z Peng, H Fan, S Fu, J Ding… - arXiv preprint arXiv …, 2026 - arxiv.org",2026,"29 روز پیش - … Abstract—Large language model (LLM)-assisted … terminology needed for legitimate code review, triage, and … same open-source large language model family: an aligned …"
5,QpSVLMO971gJ,BackportCheck: An Open-Source Tool to Support Backport Decisions in Large Software Ecosystems,https://dl.acm.org/doi/abs/10.1145/3803437.3806423,"S Sghaier, MA Daoud, M Chaieb, M Chouchen… - Proceedings of the 34th …, 2026 - dl.acm.org",2026,"32 روز پیش - … Gerrit code review interface. BackportCheck is based on a Gradient Boosting model (XGBoost), trained on historical process data, combined with a Large Language Model …"
6,LPx3jH5NWE8J,Integrating Static Analysis with Learning-Based Systems for Automated Code Review,https://dl.acm.org/doi/abs/10.1145/3803437.3804441,"I Jaoua - Proceedings of the 34th ACM International Conference …, 2026 - dl.acm.org",2026,"32 روز پیش - … Code review is a crucial but often complex, subjective, and timeconsuming task in … We explore multiple integration strategies at different stages of the large language model …"
7,SkMa3WbcElkJ,"[PDF][PDF] PhD, Professor of the Software Engineering Department Ruvinska VM Odesa Polytechnic National University, UKRAINE",https://syromiatnikov.me/publications/codeqa-2026.pdf,MV Syromiatnikov - syromiatnikov.me,,"48 روز پیش - … A full-context large language model baseline is … issue resolution [3], and code review evaluation [4]. However… a full-context large language model baseline as an upper-…"
8,_blHZyc2Tt4J,Adaptive AI Productivity Assistant for Developers in Visual Studio Code,https://ieeexplore.ieee.org/abstract/document/11594203/,"R Ranasinghe, GDT Veenath… - 2026 IEEE 18th …, 2026 - ieeexplore.ieee.org",2026,"55 روز پیش - … By integrating fine-grained metrics with machine learning and large language model-based intelligence, this work demonstrates a novel approach to augmenting …"
9,YZG0QkchBn0J,AI-Driven Code Quality Assessment Model and Implementation for Complex Power Grid Software Systems,https://ieeexplore.ieee.org/abstract/document/11621056/,"W Zhang - … Conference on Computer Intelligence and Software …, 2026 - ieeexplore.ieee.org",2026,"55 روز پیش - … that combines static metrics, abstract syntax tree representations, graph-based dependency context, change-history signals, and a constrained large language model critic …"
10,ptS-bhMi6TkJ,The End of Code Review: Coding Agents Supersede Human Inspection,https://arxiv.org/abs/2606.13175,"M Monperrus - arXiv preprint arXiv:2606.13175, 2026 - arxiv.org",2026,"55 روز پیش - … Coding Agents A coding agent is a system in which a large language model (LLM) is embedded in an agentic loop: the model can invoke tools for reading and writing files, …"
11,SAgHVIQs-qgJ,SEVRA-BENCH: Social Engineering of Vulnerabilities in Review Agents,https://arxiv.org/abs/2606.13757,"R Melo, R Fogliato, S Zhou, P Thaker… - arXiv preprint arXiv …, 2026 - arxiv.org",2026,"56 روز پیش - … Abstract Large language model (LLM) reviewers are increasingly used in pull-… In a realistic setting, we evaluate 8 current LLMs as code review agents on PRs that …"
12,WIfnlLdfOtMJ,Benchmarking Large Language Models for Vulnerability Detection: Comparing Local and Cloud LLMs,https://lup.lub.lu.se/student-papers/search/publication/9229367,"A Pykälistö, K Müller-Uri - 2026 - lup.lub.lu.se",2026,"63 روز پیش - … This unrelenting growth is making manual code review more difficult year by year, … A possible solution to this is large language model driven vulnerability detection. This …"
13,9lmwTeuwInMJ,Is This Mission Possible? A Study on Developer Challenges in Using,https://books.google.com/books?hl=fa&lr=&id=mA7hEQAAQBAJ&oi=fnd&pg=PA3&dq=%22large+language+model%22+AND+%22code+review%22&ots=1fb5TCeNf8&sig=w9hN-fyScwYrEA8oSKD3lQbMbjM,"AI Generative, S Amburi, T Gasiba¹… - ICT Systems Security …, 2026 - books.google.com",2026,63 روز پیش - … levels and broadly positive perceptions of Large Language Model (LLM) support for … We combined an LLM assisted secure code review exercise with a post task survey …
14,0x_Z1H-XJ2QJ,Pengaruh Integrasi Large Language Model (LLM) Assisted Code Generation terhadap Defect Density dan Produktivitas Pengembang dalam Metodologi Agile …,https://ejurnal.lkpkaryaprima.id/index.php/juktisi/article/view/1070,"J Yuwono - Jurnal Komputer Teknologi Informasi Sistem …, 2026 - ejurnal.lkpkaryaprima.id",2026,"63 روز پیش - … Penggunaan Large Language Model (LLM) sebagai alat bantu generasi kode (code … , dengan catatan bahwa praktik code review manusia tetap diperlukan untuk …"
15,e2KYlMtjsJ0J,Is This Mission Possible? A Study on Developer Challenges in Using Generative AI for Secure Software Development in Industry,https://link.springer.com/chapter/10.1007/978-3-032-27993-4_1,"S Amburi, T Gasiba, T Fertig, U Lechner… - … Conference on ICT …, 2026 - Springer",2026,64 روز پیش - … levels and broadly positive perceptions of Large Language Model (LLM) support for … We combined an LLM assisted secure code review exercise with a post task survey …
16,eJPCoK5ylUMJ,"Autonomous Code Review Using Large Language Models: A Hybrid Framework for Code Quality Assessment, Refactoring Recommendation, and Technical Debt …",http://internationaljournalssrp.org/index.php/ijmst/article/view/366,"NB BILIANGADI, PP KUMAR… - International …, 2026 - internationaljournalssrp.org",2026,"65 روز پیش - … ABSTRACT: Autonomous code review is emerging as a … This paper proposes ARC-TD, a hybrid large language model … The framework represents code review as a multi-…"
17,qPk7_7KdaoQJ,From Rocq to Metal: A Pipeline for Formally Verified Microcontroller Firmware,https://arxiv.org/abs/2606.02651,"V Bergeron, K Gorna - arXiv preprint arXiv:2606.02651, 2026 - arxiv.org",2026,"67 روز پیش - … Large Language Model (LLM)-assisted tactic synthesis fits naturally into this workflow: formal theorem statements replace manual code review, allowing AI-generated …"
18,gIymMtsd0nUJ,A Methodological Framework for Assessing Language Models for Security Applications,https://ieeexplore.ieee.org/abstract/document/11620871/,"M Rahimi, M Abbaspour - 2026 International Interdisciplinary …, 2026 - ieeexplore.ieee.org",2026,"67 روز پیش - … challenge in selecting the most suitable large language model (LLM) for various … secure coding, vulnerability detection, code review, and securityoriented question …"
19,PHkbfInTMQQJ,"Human-in-the-Loop Governance for LLM-Generated Code: An Engineering Control, Accountability, and Verification Model in AI-Augmented Software Development",https://hal.science/hal-05698964/,"I Taldenko - European Journal of Science and Modern …, 2026 - hal.science",2026,70 روز پیش - … The rapid adoption of large language model (LLM) based code generation tools in commercial software development has created a governance gap between code …
