search_run_id,database,query_version,exact_query,search_date,date_range,retrieved_count,deduplicated_count,title_abstract_screened,full_text_assessed,included_count,reviewer,notes
S2026-08-02-ARXIV,arXiv,Q1,"(ti:\"code review\" OR abs:\"code review\") AND (ti:\"large language model\" OR abs:\"large language model\" OR ti:LLM OR abs:LLM) AND submittedDate:[202101010000 TO 202608022359]",2026-08-02,2021-01-01 to 2026-08-02,200,,,,,Codex,Raw Atom response retained; pending pooled deduplication and title/abstract screening.
S2026-08-02-ARXIV,arXiv,Q2,"(ti:\"review comment\" OR abs:\"review comment\") AND (ti:\"large language model\" OR abs:\"large language model\" OR ti:LLM OR abs:LLM) AND submittedDate:[202101010000 TO 202608022359]",2026-08-02,2021-01-01 to 2026-08-02,61,,,,,Codex,Raw Atom response retained; pending pooled deduplication and title/abstract screening.
S2026-08-02-ARXIV,arXiv,Q3,"(ti:\"code review\" OR abs:\"code review\") AND (all:hallucination OR all:grounding OR all:context) AND submittedDate:[202101010000 TO 202608022359]",2026-08-02,2021-01-01 to 2026-08-02,156,,,,,Codex,Raw Atom response retained; pending pooled deduplication and title/abstract screening.
S2026-08-02-ARXIV,arXiv,pooled-dedup,Q1 UNION Q2 UNION Q3,2026-08-02,2021-01-01 to 2026-08-02,417,293,293,0,0,Codex,124 cross-query duplicate records removed by arXiv identifier. Title/abstract screening retained 140 candidates for full-text assessment, excluded 116 records, and identified 37 duplicate or companion versions of existing corpus records. Full-text screening subsequently included 132 and excluded 8.
S2026-08-02-SEMANTIC,Semantic Scholar,Q1,"(\"LLM\" OR \"large language model\") AND (\"code review\" OR \"review comment\" OR \"pull request review\")",2026-08-02,2021-01-01 to 2026-08-02,,,,,,Codex,API returned HTTP 429 before results were retrieved; this is an access limitation, not a zero-result search.
S2026-08-02-PUBLISHER,ACM Digital Library,Q1,"\"code review\" AND \"large language model\"",2026-08-02,2021-01-01 to 2026-08-02,,,,,,Codex,Search URL was unavailable to the current retrieval environment; manual or institutional rerun required.
S2026-08-02-PUBLISHER,IEEE Xplore,Q1,"\"code review\" AND \"large language model\"",2026-08-02,2021-01-01 to 2026-08-02,,,,,,Codex,Search URL was unavailable to the current retrieval environment; manual or institutional rerun required.
S2026-08-02-PUBLISHER,ScienceDirect,Q1,"\"code review\" AND \"large language model\"",2026-08-02,2021-01-01 to 2026-08-02,,,,,,Codex,Search page returned no retrievable result set in the current environment; manual or institutional rerun required.
S2026-08-02-PUBLISHER,SpringerLink,Q1,"\"code review\" AND \"large language model\"",2026-08-02,2021-01-01 to 2026-08-02,,,,,,Codex,Search URL was unavailable to the current retrieval environment; manual or institutional rerun required.
S2026-08-06-SEMANTIC,Semantic Scholar,Q1-retry,"(\"LLM\" OR \"large language model\") AND (\"code review\" OR \"review comment\" OR \"pull request review\")",2026-08-06,2021-01-01 to 2026-08-06,,,,,,Codex,"Graph API search and bulk-search endpoints both returned HTTP 403 Forbidden. This supersedes the earlier 429 diagnosis; an API key or a manual authenticated export is required."
