run_id,database,search_date,query,date_range,records_inspected,new_baseline_matches,matched_ids,access_status,interpretation
HB-AUDIT-OA-DIRECT,OpenAlex,2026-08-06,"large language model code review",2021-01-01 to 2026-08-02,200,2,"P14;P44",completed,"Ranked search; demonstrates independent retrieval, not an exact publisher-database reconstruction"
HB-AUDIT-OA-JUDGE,OpenAlex,2026-08-06,"LLM as a judge software engineering evaluation",2021-01-01 to 2026-08-02,200,6,"P29;P30;P33;P34;P36;P44",completed,"Topic-specific supplementary query; P44 overlaps the direct query"
HB-AUDIT-OA-MCR,OpenAlex,2026-08-06,"modern code review usefulness review comments automation",2010-01-01 to 2026-08-02,200,1,P16,completed,"Foundational and adjacent modern-code-review query"
HB-AUDIT-CR-DIRECT,Crossref,2026-08-06,"large language model code review",2021-01-01 to 2026-08-02,1000,1,P48,completed,"DOI-oriented ranked search; demonstrates independent retrieval"
HB-AUDIT-SS-DIRECT,Semantic Scholar,2026-08-06,"16 phrase-level conjunctions crossing four LLM terms with four code-review terms",2021-01-01 to 2026-08-02,427,39,"P01;P02;P03;P04;P06;P07;P08;P09;P10;P11;P12;P13;P15;P16;P17;P18;P19;P21;P22;P25;P35;P41;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P63;P64;P65;P66;P67;P68;P71",completed,"Complete retained bulk-API run: 963 raw query hits and 427 unique Semantic Scholar paper IDs; historical baseline matches use exact normalized titles"
HB-AUDIT-OA-COMMENTS,OpenAlex,2026-08-06,"code review comment generation usefulness quality",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match"
HB-AUDIT-OA-AUTOMATION,OpenAlex,2026-08-06,"automated code review deep learning developer feedback",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match"
HB-AUDIT-OA-SURVEY,OpenAlex,2026-08-06,"large language models software engineering survey code quality",2010-01-01 to 2026-08-02,200,1,P43,completed,"LLM4SE survey query"
HB-AUDIT-OA-SECURITY,OpenAlex,2026-08-06,"large language model security code review static analysis vulnerability",2010-01-01 to 2026-08-02,200,1,P46,completed,"Security and static-analysis query"
HB-AUDIT-OA-REFINEMENT,OpenAlex,2026-08-06,"automated code refinement code review replication",2010-01-01 to 2026-08-02,200,2,"P37;P70",completed,"Code-refinement and replication query"
HB-AUDIT-OA-AGENTS,OpenAlex,2026-08-06,"multi agent automatic code review comment generation",2010-01-01 to 2026-08-02,200,1,P09,completed,"Agentic review query"
HB-AUDIT-OA-REVIEWER,OpenAlex,2026-08-06,"reviewer experience reward model code review comment generation",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match"
HB-AUDIT-OA-HUMAN,OpenAlex,2026-08-06,"AI supported code review developer experience productivity",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match"
HB-AUDIT-OA-JUDGE-BIAS,OpenAlex,2026-08-06,"LLM judge bias benchmark coding software engineering",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match"
HB-AUDIT-OA-USEFUL,OpenAlex,2026-08-06,"code review usefulness reviewability empirical study",2010-01-01 to 2026-08-02,200,1,P39,completed,"Code-review usefulness query"
HB-AUDIT-OA-GITHUB,OpenAlex,2026-08-06,"ChatGPT GitHub pull requests developer conversations",2010-01-01 to 2026-08-02,200,1,P42,completed,"Human-AI collaboration query"
HB-AUDIT-OA-QUALITY,OpenAlex,2026-08-06,"LLM code quality benchmark documentation consistency behavior",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match"
HB-AUDIT-WEB-CONCEPT,Web search,2026-08-06,"Six conceptual query clusters covering comment generation, agents, judge validity, modern review, surveys, and code quality",2010-01-01 to 2026-08-02,,10,"P23;P24;P27;P28;P31;P38;P40;P45;P49;P51",completed,"Topic-query rediscovery; ranked web results have no stable database denominator"
HB-AUDIT-WEB-CONFIRM,Web search,2026-08-06,"Title phrases or distinctive system names for unresolved records",2010-01-01 to 2026-08-02,,6,"P32;P47;P50;P52;P62;P69",completed,"Confirmatory location only; not counted as independent topic-query rediscovery"
HB-AUDIT-OA-BIAS-FINAL,OpenAlex,2026-08-06,"prompt bias consistency robustness LLM judge code evaluation",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match in the first 200 ranked results"
HB-AUDIT-OA-MISALIGNMENT,OpenAlex,2026-08-06,"large language model misalignment hallucination deception alignment critical survey",2010-01-01 to 2026-08-02,200,1,P47,completed,"Conceptual misalignment query"
HB-AUDIT-OA-EFFICIENCY,OpenAlex,2026-08-06,"code generation benchmark efficiency CPU instruction count large language models",2010-01-01 to 2026-08-02,200,1,P50,completed,"Conceptual code-efficiency query"
HB-AUDIT-OA-AUTOMATION-FINAL,OpenAlex,2026-08-06,"deep learning automate code review transformations natural language comments",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match in the first 200 ranked results"
HB-AUDIT-OA-INDUSTRY-FINAL,OpenAlex,2026-08-06,"industrial AI code review assistant developer productivity controlled experiment",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match in the first 200 ranked results"
HB-AUDIT-OA-SEMANTIC-FINAL,OpenAlex,2026-08-06,"semantic evaluation generated code review comments lexical similarity human scores",2010-01-01 to 2026-08-02,200,0,,completed,"No new baseline match in the first 200 ranked results"
HB-AUDIT-WEB-FINAL-FOUR,Web search,2026-08-06,"Four conceptual queries covering judge bias, deep-learning review automation, industrial review productivity, and semantic review evaluation",2010-01-01 to 2026-08-02,,4,"P32;P52;P62;P69",completed,"Topic-query rediscovery; no title, identifier, system, or author names used"
